Time,RT,Difficulty,isCorrect
858.366,NaN,1,0
16407.424,1320.57786,1,1
39655.992,5344.017029,2,1
57671.564,4796.459675,2,0
72253.984,4088.053703,1,1
87153.088,2630.930901,1,0
105735.282,NaN,1,0
128350.551,7105.497599,1,0
144349.57,NaN,1,0
166164.895,6731.163502,1,0
183380.509,5350.566626,1,1
203579.276,NaN,2,0
218844.997,2106.087208,1,1
238443.786,3098.307371,1,1
253809.517,7354.576826,2,1
269508.556,2708.542824,2,1
287657.444,5424.668789,1,1
305939.652,5684.462547,1,0
327405.011,5344.117641,2,0
342187.433,6825.702906,2,1
363152.807,5585.321903,2,0
384084.867,6629.297018,1,0
400067.21,5398.949862,1,0
418316.094,7363.066196,1,1
436181.659,NaN,2,0
459413.567,NaN,2,0
479379.01,NaN,2,0
495211.374,2273.822069,2,1
511843.683,1590.509653,1,1
535108.922,5837.294817,2,0
558024.184,NaN,2,0
572856.605,3275.620937,2,1
593138.695,3775.5301,1,1
612187.527,3538.722515,2,0
629153.152,5101.099968,2,1
646902.067,1422.188997,1,1
668667.391,3111.875534,1,1
687566.232,5889.040709,2,1
703681.909,6153.365374,2,1
720047.565,NaN,2,0
