Time,RT,Difficulty,isCorrect
1122.065,5279.929876,2,0
15787.824,3723.175287,1,1
34103.373,2975.632191,1,1
50269.039,3826.968193,1,1
73334.305,2632.726192,1,0
89966.617,4230.402946,1,0
112048.58,4831.459284,1,1
134113.893,4642.165899,2,1
155312.608,5104.44665,2,1
170461.673,6606.387615,2,0
185210.773,4118.299007,1,1
208609.328,6383.755922,2,1
229774.689,3210.391283,1,1
249173.506,3416.58473,1,1
268005.678,4293.421984,1,1
290354.318,3612.797737,1,1
307903.238,2402.890921,1,1
325502.155,5729.983807,2,1
341551.176,2942.951918,2,0
357050.224,3498.92807,1,1
380348.794,3933.351517,2,1
401597.491,5507.660389,2,1
421179.623,4498.529911,1,0
437611.945,7708.225965,2,1
459627.268,6137.924671,2,1
478659.428,5783.755779,2,1
495058.414,4458.786964,1,0
510707.453,3524.742126,2,1
529489.628,4266.576052,2,1
545755.304,6763.916016,2,0
560604.399,3301.82004,1,1
578419.977,2591.248035,1,1
595685.571,5750.671148,2,1
611101.301,1952.943325,1,1
629650.162,2527.106047,2,0
647932.361,4685.897827,2,1
670780.972,5956.29406,1,1
689663.133,3921.141863,1,1
708611.985,7448.301554,2,1
723844.371,4231.915951,2,0
