Time,RT,Difficulty,isCorrect
514.853,5058.145761,2,0
19913.666,3214.347601,1,0
34979.43,3127.609491,1,1
49911.859,3560.191631,1,1
66394.194,3800.877333,2,1
81209.962,6544.132948,1,1
102641.992,6797.127008,2,1
124207.361,7892.799377,2,1
139456.436,4540.716887,1,1
154638.833,4066.348314,1,1
175720.892,1981.318474,1,1
192736.53,6380.695343,2,1
216518.418,3935.844183,1,1
232284.128,6486.148119,2,0
253099.535,5647.764921,2,1
268615.278,4624.042511,1,0
284697.623,4326.711655,2,1
301463.27,5559.082508,1,1
318128.943,4856.424332,2,1
338294.382,3692.012072,1,1
360126.383,5429.051161,2,1
377508.674,7614.772797,2,1
399207.365,1935.096979,1,1
416806.297,4352.191925,1,1
438238.329,2865.184069,1,1
456603.872,7830.67131,2,0
479852.471,7054.0905,2,1
497001.431,6530.157566,2,0
519566.738,1514.863491,1,1
535515.764,1672.86253,1,1
551764.783,3789.857626,1,1
568830.405,5462.260485,2,1
589395.825,3745.869637,2,1
609711.26,4975.455761,2,1
631126.641,7847.106218,1,1
647025.678,1642.0784,1,1
665191.246,5059.532404,2,1
683623.461,6833.345652,2,1
702238.986,4573.843718,2,1
725604.253,1833.591938,1,1
