Time,RT,Difficulty,isCorrect
1677.189,4216.817141,1,0
24075.8,4368.206978,1,1
47674.351,3245.674372,1,1
67739.802,4779.225349,2,0
87455.254,6172.786474,1,1
110187.193,3864.845991,2,0
127969.427,4213.629961,1,1
143735.122,6889.946461,2,1
158734.205,4255.856514,1,1
177649.708,4212.365389,2,1
194215.371,4067.703247,1,1
212964.209,4279.870033,2,1
231063.108,4137.992144,2,0
247312.104,5834.006071,2,0
262711.158,3678.949118,2,1
279360.137,5026.972055,1,0
298258.987,4770.146847,1,1
319807.666,6627.47097,2,1
340256.405,7478.737593,2,1
355222.147,6496.009827,2,1
370037.909,4508.239269,1,1
392186.542,6737.627029,1,0
414018.554,NaN,2,0
431934.121,3898.058891,1,1
450816.278,3387.908936,1,1
468565.201,5552.987337,2,1
486797.412,4518.792868,1,1
508062.763,5009.438753,2,1
528278.207,5045.017242,2,1
543210.624,5183.601618,2,1
562726.078,5056.15592,2,1
583041.499,5179.732084,2,1
599123.852,3932.385445,1,0
614906.221,3617.030382,1,0
632371.816,4648.437023,2,0
649970.736,4943.533421,1,1
671119.429,5617.861271,2,0
686935.131,5932.155371,1,1
708667.126,5449.173689,1,0
725732.749,4330.54781,1,0
