Time,RT,Difficulty,isCorrect
799.22,2528.772116,2,1
24414.449,1840.5509,1,0
39213.527,3533.474207,1,0
61078.865,5881.150246,2,0
80410.998,NaN,1,0
97509.957,3347.083092,2,1
112775.681,5713.363647,1,1
128824.693,4969.347954,1,1
150873.339,2308.70986,2,1
166405.731,2585.318565,1,0
187171.123,4711.943865,2,1
208553.142,4322.927952,2,0
228618.577,4841.500998,1,0
248534.02,3384.063959,1,0
269099.426,2277.676105,1,1
291448.058,4302.061081,2,1
313363.374,3698.745012,1,0
331145.61,1715.516329,1,1
348144.578,3996.552467,1,1
368793.3,2660.839558,1,1
390691.964,2963.18984,2,1
406507.653,2233.499765,2,1
424489.892,1601.274967,1,1
447555.142,3697.033882,2,1
462970.858,2803.311825,2,0
477836.615,4402.584791,2,1
493318.994,4186.197042,1,0
512934.461,3942.732096,2,1
534366.484,4430.711508,2,0
552565.367,2025.851727,1,0
571247.552,3448.667765,2,0
586079.976,3699.252605,2,1
609761.849,2875.385523,1,0
624727.6,2472.643137,1,0
641076.598,1990.653276,1,1
657108.953,2264.297247,2,1
671708.057,2181.20575,2,1
689973.602,2808.664799,1,1
712972.182,3089.104176,2,1
727837.931,3841.354132,2,1
