Time,RT,Difficulty,isCorrect
1631.452,5152.554512,1,1
17980.442,4040.559769,1,0
37412.582,5273.438931,1,1
52128.344,6265.675783,2,1
69093.973,NaN,2,0
88176.126,3221.905947,2,0
106591.666,4730.383396,1,1
123807.287,6176.77021,2,0
140922.906,4978.138924,2,1
161288.321,4870.738506,2,1
180070.487,3472.588778,1,1
202019.146,4481.934547,2,1
218634.795,3773.298264,2,0
234617.154,3501.933336,1,1
250516.178,3776.922226,1,1
268165.085,3566.027641,1,1
286763.94,3483.162642,1,1
307229.354,4211.76362,2,0
322378.421,2895.700932,1,1
341760.581,5876.549959,2,1
365442.46,3447.679758,1,1
381574.799,5535.35223,2,1
398957.071,2360.07762,2,0
418272.541,5843.626261,2,1
434721.539,4855.629206,2,0
456870.18,5440.00864,2,0
477818.884,5703.302622,2,1
501234.125,5404.07443,2,1
516949.829,3652.376175,1,0
531832.245,4142.970324,1,1
546997.976,2443.24398,1,1
562430.371,2012.854338,1,1
585995.58,2615.651608,2,0
609210.836,2728.406668,1,1
632376.063,6189.184904,1,0
648591.74,4927.512884,1,1
666024.015,6290.249586,2,0
682156.343,2890.929699,1,1
697438.745,4730.528831,1,1
720753.98,7143.303871,2,0
