Time,RT,Difficulty,isCorrect
1555.036,3946.961164,1,1
21437.152,2727.861166,2,1
37069.534,6140.48624,2,1
54585.12,2608.914375,2,0
74817.23,NaN,2,0
90382.947,3951.103687,2,1
111081.669,6305.410147,1,1
129197.236,3512.847424,2,1
146579.501,6571.604967,1,1
163245.162,2398.945808,1,1
181144.057,6323.074579,2,0
199092.974,3121.163607,1,1
215541.972,5897.172213,2,1
234324.161,1715.002775,1,1
249656.547,5622.621059,1,1
267572.124,5420.066595,2,1
289387.462,3404.752493,2,0
305319.81,7410.412312,1,1
325985.214,5880.026817,1,1
343900.801,3506.430149,1,1
359849.826,1223.425627,1,1
382598.437,5769.839764,2,1
405980.342,5865.947485,1,1
425862.449,2467.854977,2,1
448244.416,6137.899637,1,1
466876.609,4263.72385,1,1
489325.251,4506.103039,2,0
510757.273,3620.082617,2,1
527756.239,1527.12965,1,1
542738.651,6133.725882,1,1
558854.335,1942.06357,1,1
579153.096,2949.31674,1,1
594718.806,4235.619307,2,1
609767.891,5601.536036,2,1
628833.407,6218.041658,2,0
648182.208,6757.258177,1,1
666247.778,NaN,2,0
683113.413,4595.075607,1,1
698812.448,1966.043711,2,1
720244.477,4859.04789,2,1
