Time,RT,Difficulty,isCorrect
1531.231,3096.76075,1,1
17530.25,2839.748383,2,1
34062.57,3074.434996,1,0
55177.931,3554.075003,2,1
78576.509,3893.516541,2,1
93492.243,2456.789494,2,0
114807.616,6467.427492,2,1
131573.254,3587.790251,1,1
153938.547,5253.502369,2,0
168754.3,3513.760805,2,1
192052.861,2021.205187,1,1
212301.63,2113.454103,1,1
232050.418,3344.676018,2,1
247949.432,4154.659986,1,1
262648.535,4187.565327,2,1
281247.389,3824.725389,2,1
301329.505,3454.614162,1,1
318461.777,2338.34219,2,1
338793.863,1445.271492,1,1
355659.497,2544.645071,1,1
379174.725,3820.421934,1,1
397190.281,2080.876827,1,1
414389.23,3639.927626,2,1
434587.985,2587.172985,2,1
450720.326,1871.847153,1,1
472235.669,3044.520855,1,1
488751.332,2601.852179,2,0
512066.572,2724.623203,1,0
531215.393,4061.811209,2,0
547131.078,3855.137825,1,1
569729.697,4198.52972,2,1
586745.316,5648.923635,1,1
606644.104,1660.139084,1,1
623626.377,1166.880131,1,1
640458.685,5366.56642,2,1
655457.768,5497.495174,1,1
671823.432,NaN,2,0
688505.744,1856.532335,2,1
708737.825,NaN,2,0
728069.981,2641.299009,1,0
