Time,RT,Difficulty,isCorrect
1858.519,2147.481918,2,1
20707.367,3152.637005,2,1
39472.878,2528.132915,2,1
61771.503,3908.513784,1,1
76887.257,1305.775642,1,1
94352.851,3960.18815,2,1
111818.438,2461.601257,2,0
135500.316,4344.731808,1,1
156499.037,2332.026958,1,1
178381.029,3419.036388,1,1
194796.677,2796.391964,2,1
211678.987,1340.096474,1,1
234877.56,1894.536495,2,1
253376.41,3632.699966,1,0
268808.796,2866.299868,2,0
285624.433,1049.677372,2,1
303040.045,2715.068817,1,0
324838.694,1123.446703,1,1
346887.343,3814.804792,1,1
368086.05,4105.098009,2,1
385651.642,1784.509182,2,1
403417.214,1764.940739,2,0
426315.802,2170.367002,1,1
444481.362,1818.8169,2,1
461646.977,1686.204672,1,1
479445.887,1581.303835,1,0
502094.488,4330.724001,2,0
518993.452,1806.74696,2,0
534659.157,3284.056902,1,1
549891.548,4479.67267,2,1
565907.242,1094.980001,1,1
586405.987,1730.242491,2,1
602871.631,1190.602303,1,0
617537.411,1774.826765,2,1
634603.027,2008.234024,1,1
651651.981,6327.291965,2,1
670567.489,3128.783941,1,0
685949.865,1869.415045,2,1
701098.948,2169.325113,1,1
723880.876,1177.41394,1,1
