Time,RT,Difficulty,isCorrect
824.781,6714.212418,2,1
15423.881,NaN,2,0
34306.051,5716.95447,2,0
54621.469,2576.53451,1,1
73020.344,6754.687548,1,1
88352.727,3932.301521,1,0
105834.998,4096.045494,1,1
121567.356,7813.689232,2,1
138482.983,4918.058395,1,1
158331.768,4335.292578,1,0
178380.543,6965.531588,2,0
199979.212,5679.86846,1,0
219828.004,NaN,2,0
240576.729,3469.361782,1,1
258242.317,2808.782101,1,1
275091.274,5942.835569,2,1
289823.711,4988.393068,2,0
304956.1,4566.013336,1,1
326004.825,NaN,2,0
342020.493,5688.642502,2,1
365685.721,4231.417179,2,0
387251.056,4715.097666,2,1
402516.794,3487.360001,2,1
424332.11,4061.05423,2,1
441481.054,5203.118324,1,1
463346.392,6178.77984,2,0
478128.823,6144.370317,2,1
493094.558,2383.635998,2,1
507793.659,4675.544024,1,1
529475.659,3354.555607,2,0
544791.392,4044.81554,2,0
565006.822,1909.402132,1,1
586455.5,5328.727007,1,0
606104.294,7412.937403,1,1
627302.992,1600.255966,1,1
647918.392,6264.863968,2,0
668083.817,1582.443237,1,1
687582.632,5512.631655,1,1
706564.804,NaN,1,0
724896.997,5098.286867,1,1
