Time,RT,Difficulty,isCorrect
1516.944,3329.05364,1,1
24682.187,6978.820086,2,1
42531.088,4017.918825,2,1
59796.697,4967.323303,2,1
75762.39,5373.639584,1,1
91028.119,7255.916357,2,1
106543.815,1967.227459,1,0
123342.785,1726.264,1,1
145358.105,3400.950909,1,1
169123.325,1492.743254,1,1
184839.028,4087.043285,1,1
205554.416,2790.666819,1,1
228236.35,3622.737408,2,1
244835.345,5484.748363,2,1
263450.856,3112.246513,1,1
285832.826,5754.279852,2,1
302081.826,4420.302629,1,1
324147.135,4586.995602,2,1
343629.279,2265.862942,1,1
361561.503,5706.634521,2,0
376143.952,2846.197605,1,1
392142.964,7769.198656,2,1
410325.187,4625.966549,2,1
427174.145,4596.032619,2,1
446806.267,2535.906315,1,1
461522.044,3500.140667,2,1
481454.156,2812.044859,1,0
500019.668,3726.536989,1,1
518035.241,5072.973967,2,1
540483.862,5260.36191,2,1
561965.88,2202.348948,1,0
579998.095,2464.131117,1,1
602513.392,3224.858522,1,1
617712.46,3802.787781,2,1
634111.442,4012.816668,1,1
650893.747,1637.513638,1,1
670142.575,6267.697334,2,1
692591.184,5312.091351,2,1
708606.873,5429.424047,2,1
725839.149,3750.142097,2,1
