Time,RT,Difficulty,isCorrect
574.902,2256.097555,1,0
17857.163,5035.843849,2,1
33722.857,4553.151608,2,0
48538.62,7106.40049,1,1
66637.502,3243.525743,1,1
86786.277,1946.760416,1,1
104535.18,4460.868359,1,1
125583.889,3159.155846,2,1
145599.324,4385.727644,2,1
160831.728,4028.34034,2,1
181580.463,3486.607075,2,1
199429.357,2562.72316,1,1
216294.983,1275.094986,1,1
238160.313,4828.774691,1,0
252776.083,3428.016901,2,1
274208.102,6333.000183,2,0
294673.512,4348.600388,1,1
309939.251,6614.880562,1,0
327604.831,6361.311913,2,1
350236.771,6595.3722,2,1
364985.859,6691.282988,2,1
383568.066,1653.081656,1,1
403233.518,7249.632597,1,1
419099.208,6687.954664,2,0
435498.208,4332.962275,1,1
454880.357,3859.816313,2,1
473945.854,3652.340174,2,1
496744.447,1266.756296,1,1
514860.007,6140.202045,1,1
535308.75,5419.462442,2,1
553674.291,6975.929976,2,0
570406.585,4996.644497,2,1
585672.323,1973.912477,1,1
607687.644,5071.611404,2,1
629202.988,3473.253489,1,1
646701.903,6161.362648,1,1
662534.273,7214.995861,2,1
677133.374,2647.893429,1,1
696932.159,6044.12508,2,1
720630.715,1328.569651,1,1
