Time,RT,Difficulty,isCorrect
1253.719,NaN,2,0
20035.892,7399.108171,1,1
38368.095,6135.910511,1,0
54933.755,4998.250008,1,1
73932.571,6850.442648,2,0
95847.906,4205.110073,1,1
113296.826,5031.201124,1,1
128795.884,4479.147911,1,1
144161.609,5543.447733,1,1
159044.024,2876.032591,2,0
181692.625,5473.441124,1,1
199858.193,5796.877146,2,1
217023.797,5088.26685,2,1
236955.91,4657.166719,1,1
259171.206,4838.891506,1,1
278536.684,2907.415628,2,0
294819.033,4993.064404,2,1
311984.647,5296.461821,2,1
327717.015,6071.10858,2,1
342716.091,6672.032833,2,1
366031.329,6258.805037,1,1
385446.804,5009.330511,1,1
401545.816,5679.323912,2,1
416461.562,7458.5917,2,1
434277.139,7672.030926,2,1
452176.043,5416.134596,2,0
473541.393,5647.788763,1,1
493923.482,2951.702833,1,1
515838.79,5287.412405,1,1
530904.53,4778.665781,1,1
546103.596,NaN,2,0
565319.099,4995.124817,1,1
587617.729,3724.507332,1,1
605533.287,5970.945597,2,1
621632.303,4739.934683,1,1
643514.287,7078.963518,2,0
661613.193,5091.064215,2,1
684428.453,NaN,2,0
704260.558,4390.719652,2,1
722226.134,5547.14036,1,0
