Time,RT,Difficulty,isCorrect
1909.449,3059.542894,1,1
22958.139,3724.863291,1,1
39023.832,3772.16506,2,1
59039.273,3927.733421,2,1
75004.946,3819.074392,2,1
97703.559,5150.46978,2,1
118302.295,3744.734287,1,0
139384.336,4523.697853,1,1
155849.994,5594.050407,2,1
178615.264,3872.801065,2,1
194580.954,6580.118895,2,1
212279.859,2017.22002,1,1
228978.834,3779.247761,2,0
246744.415,5348.670006,1,1
262160.141,4198.951483,2,1
285675.358,3143.745184,1,1
302474.333,4595.775843,1,1
326272.866,2615.258217,2,1
347138.256,4238.877058,1,1
365287.134,3861.00626,1,1
381136.169,3379.97818,1,1
402834.84,5558.308363,2,1
422750.272,5703.889608,1,1
440199.21,7295.965195,2,0
455764.913,1699.252367,1,1
477530.247,6129.931211,2,1
496312.423,6364.760876,2,1
514111.332,3694.870234,1,1
531693.603,5712.596416,2,1
554092.22,5980.999231,2,1
569757.923,5430.299282,2,1
585673.618,1787.604094,1,1
607005.635,3674.590111,1,1
621654.731,3233.500242,1,1
640520.241,3096.014977,1,1
656102.627,5030.618191,1,1
671918.318,2068.936825,1,1
690683.846,6828.420877,2,0
706299.541,5531.737566,2,1
723965.131,4240.159988,2,1
