Time,RT,Difficulty,isCorrect
565.578,3074.418545,2,0
20731.001,3018.005848,1,1
42329.682,2701.321363,1,1
63511.708,2916.31794,1,1
79294.076,3292.954206,2,1
98326.236,3548.809528,2,0
115658.515,2525.519371,1,1
137690.487,2637.562513,2,1
154889.442,2654.61278,1,1
171005.113,2989.949703,2,1
189803.972,2270.089149,1,1
207302.888,2570.193529,2,1
224101.856,2728.221178,2,1
246700.471,3174.626589,2,1
262166.182,3126.921415,2,0
277065.273,1798.82884,2,1
296614.078,2678.030729,1,1
318029.423,5140.692472,1,1
340178.065,2810.064316,2,1
355777.109,2500.030279,2,1
374609.283,3654.859781,2,0
394874.707,2209.444523,1,1
418223.275,2961.881638,2,1
436838.803,4328.373671,1,1
453971.086,1763.091326,1,1
477619.638,4602.547646,1,1
495218.549,1067.635298,1,1
511950.852,2597.346544,2,1
527266.594,2403.611422,2,1
542232.338,4191.871405,1,0
562314.438,2940.774679,2,1
583129.822,1938.412189,1,1
602461.975,2672.264338,1,1
619210.935,1623.310804,1,1
642476.181,2178.072691,2,1
662174.978,1718.285561,1,1
678907.279,3464.993477,2,1
696406.209,1034.065485,1,1
711188.623,1512.664795,1,1
726121.048,4237.24556,2,1
