Time,RT,Difficulty,isCorrect
1207.253,4464.736462,1,1
16256.32,4640.678167,1,1
33805.25,4888.746262,2,1
52087.455,4812.562704,2,1
68553.127,4887.896776,2,0
83252.207,4521.807671,1,0
99701.211,4846.818209,2,0
116883.484,4317.550898,1,1
131882.561,3565.485001,2,1
153881.218,3576.834679,2,0
172496.73,5496.328115,2,0
189495.698,4219.360828,2,0
206911.294,4203.782558,1,1
226160.118,4036.9699,2,0
245275.598,4873.482227,2,1
267940.878,3965.226889,1,1
286006.438,5886.66749,2,0
309371.669,5464.45775,2,1
324387.423,6209.699631,2,1
340253.113,5439.015627,1,1
363768.337,4162.80365,1,0
383417.134,3120.012522,1,1
401232.711,3309.453011,1,1
420098.216,4821.948051,2,1
437513.812,2979.368925,1,0
457045.939,3158.234835,1,1
478594.626,2824.549913,1,1
497776.779,4014.404774,1,1
515242.369,2845.830679,2,0
533074.602,3771.616936,1,1
552723.398,3155.812502,1,1
567505.836,4084.388971,1,1
591121.056,4066.170692,2,0
614802.933,4351.307869,2,1
629602.026,4221.208811,1,1
647617.579,3949.672461,1,1
667466.373,4275.885344,2,1
682432.116,2984.142303,1,0
704530.746,3999.530792,2,0
723179.607,4888.678312,2,0
