Time,RT,Difficulty,isCorrect
1521.947,5243.045092,1,1
21570.704,4874.282837,2,1
37286.418,1851.58658,1,1
57535.158,3708.843231,2,1
80483.75,4402.280092,2,1
103649.009,2561.01656,1,1
121897.876,3550.163507,2,1
137796.899,5276.145697,2,1
159362.255,3531.799793,1,1
182527.504,3532.550097,1,1
206142.709,3276.356936,1,1
221958.409,3835.66308,1,1
240740.586,3966.4886,2,1
256889.607,2323.49062,2,1
276371.726,3586.3657,2,1
292337.427,3067.679405,1,1
314202.746,3423.374414,2,1
330718.403,1565.712452,1,1
350183.869,4291.264057,2,0
370882.595,2305.54533,1,1
386348.326,4196.813583,2,1
406480.413,1264.728308,1,1
423462.716,4822.432756,2,1
438828.432,2487.736464,2,1
454710.784,4025.393248,2,1
474592.906,4964.265108,1,0
493075.102,2030.079126,1,1
512657.233,3727.976561,1,0
532955.988,1708.22525,2,1
547888.401,5321.815014,2,1
562687.507,4060.710907,2,0
585152.793,2123.420954,1,1
601385.128,5243.112564,1,0
618667.402,6351.836205,2,1
635283.053,3468.190908,2,1
653115.28,1219.975948,1,1
672430.756,1114.503622,1,1
689063.082,7421.1905,1,1
705212.082,3644.187212,2,1
723677.617,999.655724,1,1
