Time,RT,Difficulty,isCorrect
1512.549,5677.448034,2,1
21777.972,5524.033546,1,1
38343.612,NaN,1,0
55625.897,5103.110075,2,0
71791.566,3878.454447,1,1
89007.17,6540.864229,1,1
110972.498,4097.537756,2,0
130254.649,7203.39632,2,0
150820.053,6803.994656,2,1
169685.56,5316.505432,2,0
185501.25,4644.817114,2,1
205750.006,5933.072329,2,1
223732.236,3777.83823,1,1
241614.484,4954.613209,2,0
257246.841,3998.256922,2,0
275062.427,3538.687229,1,1
293277.96,2489.144802,1,1
310710.238,5889.881134,2,0
325709.318,4708.79817,2,1
341475.017,5744.122744,1,1
361657.111,5416.020632,1,1
376789.518,6255.641222,2,1
397388.245,5293.910265,2,1
415470.469,6201.696157,2,1
434669.302,5408.860922,2,1
451834.906,5672.27006,1,1
475416.798,6814.385891,1,1
496948.794,6318.394661,2,0
517780.864,7221.341848,2,1
534446.508,3813.70306,1,0
556761.807,3719.419003,1,1
571544.231,5320.998192,1,1
591742.979,5408.247232,1,1
612125.077,6216.166019,1,1
634373.698,6534.549952,1,1
655439.081,6115.1793,1,1
672921.338,6768.929482,1,1
690120.287,5744.987249,2,0
704736.046,4572.235346,1,1
722468.301,4615.9904,2,1
