Time,RT,Difficulty,isCorrect
1196.099,3040.897369,1,1
19744.947,1810.06074,1,1
35393.988,5986.02891,2,0
56476.04,6368.978739,2,1
73541.645,1702.383757,1,1
93573.763,4463.283539,1,0
114072.504,4319.541693,1,1
136637.786,3969.258547,1,1
154253.368,4747.694731,2,1
171902.291,3639.782667,1,0
188901.249,4179.815292,2,0
212349.798,5657.282829,2,1
232381.909,7734.199524,2,0
252713.991,7453.113079,1,1
269479.62,6025.485516,1,1
284528.713,7139.398336,2,0
300394.402,5037.72068,2,1
316493.402,5352.727175,2,1
340208.619,5764.5123,2,1
361140.678,3471.468449,2,1
382522.69,1771.46101,1,1
400571.579,1917.577744,1,1
422370.237,6171.935558,2,1
441435.738,4855.443001,1,1
460484.58,1317.603588,1,1
480200.037,1504.162073,1,1
499382.195,4291.011333,2,1
517947.719,5416.487217,2,1
538163.148,5909.06167,1,1
553012.221,2560.000896,2,0
569761.195,4150.041103,2,1
588210.068,1957.171679,1,1
603209.148,1963.089943,1,1
624124.529,1892.724752,1,1
640540.196,4576.066971,1,1
655189.285,3059.973717,2,1
670688.336,3146.934986,1,1
686187.385,5533.89287,2,1
705452.873,6051.409483,2,1
728518.129,3744.166613,2,1
