Time,RT,Difficulty,isCorrect
974.686,6370.316505,2,1
16657.048,3732.967138,1,1
32622.736,2990.270615,2,1
50238.328,NaN,2,0
68970.518,7471.50445,2,0
83569.608,2839.42318,1,1
98135.396,NaN,2,0
118134.161,4796.888113,1,0
139166.203,4846.857548,2,1
158031.718,2928.351402,2,1
176847.236,2991.826296,1,1
197295.967,4590.102196,2,0
214761.572,2353.516102,2,1
230460.607,4054.490089,1,0
248259.508,3174.592972,1,0
263508.567,1704.538584,1,1
284857.257,4107.860327,1,0
303172.813,4503.303289,1,1
320521.741,3645.387173,1,1
339353.913,3606.236219,2,0
357769.462,5919.68441,1,1
380034.764,4639.388561,1,1
400566.822,3051.337719,2,0
416682.512,3392.649412,1,1
434881.383,6895.79916,2,1
452630.307,1913.876057,1,1
475778.878,NaN,2,0
498994.115,2874.080658,2,1
520059.49,1909.711361,1,1
538425.033,2363.186121,2,1
554990.685,5717.539072,2,1
571656.333,1484.8876,1,1
589021.924,4529.31571,2,1
609887.322,2383.91161,2,1
633402.545,4716.72225,2,1
655167.871,2727.38719,1,0
670266.939,3677.325964,1,1
690299.05,5731.230259,1,1
704948.148,7441.137552,2,1
720447.197,1721.09437,1,1
