Time,RT,Difficulty,isCorrect
1902.174,4691.818237,2,1
23850.818,3159.190893,2,1
38549.922,4864.086151,2,1
56932.117,2878.891468,1,1
75297.656,2932.369232,2,1
91096.699,3513.324738,2,1
112662.028,3532.011509,2,1
128677.727,5652.315378,2,1
145993.322,4092.740059,2,1
160592.425,5133.623362,1,1
182307.757,3607.310534,2,1
197090.194,2441.868305,1,1
211905.953,2022.113323,1,1
226955.033,1291.068316,1,1
250286.926,3026.170015,2,1
272368.893,1145.207167,1,1
295034.169,2381.947517,2,1
310599.892,2388.215065,2,1
330648.668,3225.460768,2,1
352397.329,1466.817379,2,1
371962.8,2050.34709,1,1
395661.343,3237.816095,2,1
412776.953,4744.209528,1,0
435558.879,4897.287607,2,1
453757.78,4670.391798,2,1
474406.504,7882.682562,1,1
492822.037,2986.156464,1,1
512220.855,4913.333178,1,1
528519.851,3501.353502,1,1
543935.576,1939.64386,1,1
561751.15,1820.069313,1,1
579683.375,5279.865265,2,1
601382.039,4250.190258,1,1
616947.752,1529.490709,1,1
633296.755,4442.494869,1,1
650162.382,4448.869467,1,0
667477.983,3890.279293,1,1
689259.986,5453.282595,2,1
706775.579,5026.700497,2,1
727690.953,1073.322535,1,1
