Time,RT,Difficulty,isCorrect
769.757,4057.243347,1,1
17885.371,2868.639231,1,1
34767.667,4752.352476,1,1
49416.78,2845.240116,1,1
72198.71,5627.331972,2,1
93380.747,3871.293783,1,1
111896.274,5135.779142,2,1
127761.955,4062.099457,1,1
148710.67,1884.400368,1,1
170276.025,5635.048628,1,1
186258.382,6085.696697,2,1
202290.716,2392.362118,1,1
223856.073,2629.021168,2,1
242154.941,3428.172112,1,1
263586.97,3525.136709,1,1
278852.685,2340.417624,2,1
299201.445,1331.681728,1,1
320000.168,1230.960131,1,1
335132.576,3518.555403,1,1
351798.221,5001.926422,2,1
373463.542,5665.612698,2,1
390379.171,5992.994785,2,1
411494.546,3315.626621,1,1
430060.084,4503.098249,2,1
449925.527,1762.661219,2,1
466974.487,4949.704409,2,1
484973.366,2631.843328,1,1
504822.159,2771.049976,1,1
520804.513,7004.703283,2,1
538886.731,3461.485624,2,1
553985.811,5040.421486,2,1
572817.975,3976.26543,2,1
589233.642,3805.602551,2,1
604499.364,2589.882374,1,1
626981.317,7365.940332,2,0
646446.805,6144.461393,2,1
664462.367,3865.913391,2,1
679978.081,1487.194538,1,1
696310.397,6546.882153,2,1
720075.621,1500.660896,1,0
