Time,RT,Difficulty,isCorrect
1326.918,3759.094,1,1
19209.14,5044.864178,1,1
36324.765,4782.255173,1,1
56840.174,2634.839535,1,1
72489.207,2411.811829,1,1
93171.273,4171.755791,2,1
112620.085,3982.941389,2,1
133302.155,3103.887081,1,1
153950.889,3546.157837,1,0
175099.587,2590.472698,2,1
192315.198,3528.873444,1,0
213880.532,3077.546835,1,1
230962.826,4352.264643,2,1
246761.851,2538.23328,1,1
264110.781,4083.312988,1,0
283809.584,3614.524841,1,1
305024.943,5142.172813,1,1
320873.961,4615.166426,1,1
336739.657,4924.476147,2,0
351905.399,3126.738071,2,1
368137.726,5340.417147,2,1
385353.34,4266.812563,1,1
407601.988,3568.170547,1,1
430667.233,2401.932955,2,1
449482.747,3824.421167,2,1
466415.04,4828.137875,1,1
484880.576,3755.608797,1,1
503512.765,4445.43457,2,1
519761.767,4415.436029,2,0
540693.811,2562.396765,2,1
558076.07,4368.147135,2,1
572841.849,5222.378731,2,0
591624.015,4032.217026,2,1
614739.262,4492.977619,2,1
630221.643,3621.597767,2,0
652120.301,5622.951508,2,0
669252.589,1875.679255,1,0
689418.012,3141.259432,1,1
706900.279,4803.995132,2,1
729232.238,5217.04793,2,0
