Time,RT,Difficulty,isCorrect
1125.864,NaN,1,0
23091.212,NaN,2,0
40523.509,7147.572279,1,0
57972.469,NaN,1,0
74938.115,5549.041033,1,1
91687.104,NaN,1,0
113752.454,NaN,2,0
131268.072,6165.197611,2,1
151266.879,7978.41835,1,0
172332.285,5327.060699,2,1
193847.677,NaN,2,0
217096.282,5719.150543,2,1
237161.742,7755.729437,2,1
252694.15,NaN,2,0
269926.45,3610.084534,2,1
287775.39,7106.176138,2,1
306657.59,4271.02685,1,1
329789.54,3890.107155,1,1
350771.618,6916.078329,2,1
369687.149,5997.586489,1,1
385469.54,3674.208641,1,1
401168.603,4779.187202,1,1
421650.697,3961.129427,1,1
443016.098,7364.776373,1,0
465831.401,3462.512732,1,1
481030.492,3396.446466,1,1
497896.151,5759.829044,2,1
513311.897,4686.101437,1,1
531144.163,3272.876978,2,0
546043.271,NaN,2,0
567441.99,6454.119205,2,1
582041.116,2955.020428,1,1
597340.196,5973.975182,2,0
613955.865,6373.3356,1,0
629004.962,6573.270321,2,0
646703.909,5121.36364,2,1
669302.561,5611.740589,1,1
686268.22,4243.134499,2,1
707233.627,5628.761292,1,1
725832.511,7337.919235,2,1
