Time,Pupil Diameter
4,4.522192
8,4.52198
12,4.521741
16,4.521478
20,4.521203
24,4.520921
28,4.520644
32,4.520378
36,4.52013
40,4.519908
44,4.519721
48,4.519574
52,4.51947
56,4.519408
60,4.519389
64,4.51941
68,4.519469
72,4.519561
76,4.519685
80,4.519836
84,4.520013
88,4.520216
92,4.520447
96,4.520707
100,4.520998
104,4.521322
108,4.521675
112,4.52207
116,4.522499
120,4.522952
124,4.52344
128,4.523959
132,4.524496
136,4.525052
140,4.525607
144,4.526152
148,4.526677
152,4.527164
156,4.52761
160,4.527997
164,4.528313
168,4.528547
172,4.528677
176,4.528686
180,4.528558
184,4.528277
188,4.527827
192,4.527197
196,4.526369
200,4.525331
204,4.524071
208,4.522583
212,4.520855
216,4.518888
220,4.516681
224,4.514231
228,4.511543
232,4.508612
236,4.505444
240,4.50205
244,4.498443
248,4.494621
252,4.490599
256,4.486388
260,4.482004
264,4.477458
268,4.472769
272,4.467952
276,4.463024
280,4.458002
284,4.452899
288,4.447734
292,4.442521
296,4.437275
300,4.432006
304,4.426725
308,4.421443
312,4.416165
316,4.410899
320,4.405651
324,4.400423
328,4.395221
332,4.390052
336,4.384919
340,4.379827
344,4.374783
348,4.369793
352,4.364864
356,4.360001
360,4.355209
364,4.350502
368,4.345878
372,4.341342
376,4.336897
380,4.332548
384,4.328293
388,4.324137
392,4.320078
396,4.316115
400,4.312239
404,4.308448
408,4.304736
412,4.301097
416,4.297532
420,4.294032
424,4.290599
428,4.287217
432,4.283879
436,4.280581
440,4.277335
444,4.27413
448,4.270968
452,4.26784
456,4.26475
460,4.261697
464,4.258683
468,4.255714
472,4.252791
476,4.249919
480,4.247105
484,4.244349
488,4.241661
492,4.239047
496,4.236516
500,4.234073
504,4.231726
508,4.229479
512,4.227344
516,4.22532
520,4.22341
524,4.221612
528,4.219927
532,4.218355
536,4.216894
540,4.215541
544,4.214292
548,4.21314
552,4.21208
556,4.21111
560,4.210227
564,4.209434
568,4.208725
572,4.208101
576,4.207561
580,4.207108
584,4.20674
588,4.20646
592,4.206272
596,4.206169
600,4.206152
604,4.206217
608,4.206358
612,4.206574
616,4.206865
620,4.20723
624,4.207665
628,4.208171
632,4.208741
636,4.209378
640,4.210081
644,4.210863
648,4.211715
652,4.212644
656,4.213648
660,4.214726
664,4.215878
668,4.217101
672,4.218389
676,4.219738
680,4.221142
684,4.222592
688,4.22408
692,4.225596
696,4.227137
700,4.228694
704,4.230257
708,4.231817
712,4.233372
716,4.234913
720,4.236436
724,4.237933
728,4.239408
732,4.240855
736,4.242277
740,4.243678
744,4.245056
748,4.246411
752,4.247746
756,4.249065
760,4.250375
764,4.251679
768,4.25298
772,4.254283
776,4.255595
780,4.256923
784,4.25827
788,4.259634
792,4.261017
796,4.262417
800,4.263836
804,4.26527
808,4.266711
812,4.268155
816,4.269595
820,4.271024
824,4.272431
828,4.273811
832,4.275151
836,4.276438
840,4.277667
844,4.278829
848,4.27992
852,4.280933
856,4.281867
860,4.282722
864,4.283502
868,4.284209
872,4.284848
876,4.285427
880,4.285954
884,4.286441
888,4.286894
892,4.287322
896,4.287733
900,4.288133
904,4.288531
908,4.288935
912,4.289346
916,4.289764
920,4.290181
924,4.290601
928,4.291019
932,4.291436
936,4.29185
940,4.292263
944,4.292675
948,4.293083
952,4.29349
956,4.293898
960,4.294313
964,4.294735
968,4.295165
972,4.295611
976,4.29608
980,4.296577
984,4.297107
988,4.297671
992,4.298266
996,4.298887
1000,4.299536
1004,4.300208
1008,4.300907
1012,4.301628
1016,4.302368
1020,4.303121
1024,4.303881
1028,4.304646
1032,4.305414
1036,4.306178
1040,4.306939
1044,4.307693
1048,4.308439
1052,4.309174
1056,4.309895
1060,4.310598
1064,4.311282
1068,4.311942
1072,4.312579
1076,4.313189
1080,4.31377
1084,4.314325
1088,4.314851
1092,4.315351
1096,4.315827
1100,4.316285
1104,4.316732
1108,4.317179
1112,4.317634
1116,4.318107
1120,4.318599
1124,4.319117
1128,4.319668
1132,4.320259
1136,4.320891
1140,4.321567
1144,4.322283
1148,4.323037
1152,4.32382
1156,4.324625
1160,4.325439
1164,4.326252
1168,4.327055
1172,4.327837
1176,4.328588
1180,4.329297
1184,4.329957
1188,4.330566
1192,4.331116
1196,4.331604
1200,4.332024
1204,4.332377
1208,4.332667
1212,4.332901
1216,4.333082
1220,4.333214
1224,4.333305
1228,4.333362
1232,4.333395
1236,4.33342
1240,4.333444
1244,4.333479
1248,4.333535
1252,4.333625
1256,4.333757
1260,4.333938
1264,4.334176
1268,4.334476
1272,4.334842
1276,4.335273
1280,4.33577
1284,4.336327
1288,4.336939
1292,4.337599
1296,4.338305
1300,4.339049
1304,4.339827
1308,4.340638
1312,4.341479
1316,4.342346
1320,4.343235
1324,4.344147
1328,4.345083
1332,4.346045
1336,4.347033
1340,4.348048
1344,4.349092
1348,4.350163
1352,4.35126
1356,4.352376
1360,4.353505
1364,4.354642
1368,4.355779
1372,4.35691
1376,4.358025
1380,4.359114
1384,4.360166
1388,4.361171
1392,4.362126
1396,4.363022
1400,4.363854
1404,4.36462
1408,4.365319
1412,4.36595
1416,4.366516
1420,4.367018
1424,4.367462
1428,4.367849
1432,4.368191
1436,4.368495
1440,4.36877
1444,4.369027
1448,4.369274
1452,4.369522
1456,4.36978
1460,4.370056
1464,4.370363
1468,4.370708
1472,4.371101
1476,4.371549
1480,4.372056
