Time,Pupil Diameter
4,5.63652
8,5.636581
12,5.63666
16,5.636749
20,5.636845
24,5.636943
28,5.637042
32,5.637141
36,5.63724
40,5.637339
44,5.637438
48,5.637537
52,5.637636
56,5.637735
60,5.637834
64,5.637933
68,5.638032
72,5.638131
76,5.63823
80,5.638329
84,5.638536
88,5.639148
92,5.64075
96,5.644302
100,5.650633
104,5.659596
108,5.669693
112,5.678846
116,5.685721
120,5.690292
124,5.693333
128,5.695641
132,5.697644
136,5.699596
140,5.701548
144,5.703501
148,5.705453
152,5.707405
156,5.709357
160,5.71131
164,5.713262
168,5.715214
172,5.717166
176,5.719119
180,5.72128
184,5.724213
188,5.72901
192,5.737423
196,5.750845
200,5.768686
204,5.787744
208,5.803867
212,5.814601
216,5.820197
220,5.822459
224,5.823145
228,5.823191
232,5.823129
236,5.823067
240,5.823005
244,5.822943
248,5.822881
252,5.822706
256,5.822185
260,5.820701
264,5.817214
268,5.810456
272,5.799494
276,5.784422
280,5.76655
284,5.74809
288,5.731466
292,5.718533
296,5.710003
300,5.705416
304,5.703524
308,5.703115
312,5.703317
316,5.703729
320,5.704177
324,5.704625
328,5.705072
332,5.705521
336,5.705968
340,5.706416
344,5.706864
348,5.707312
352,5.70776
356,5.708208
360,5.708656
364,5.709104
368,5.709552
372,5.71
376,5.710447
380,5.710896
384,5.711343
388,5.711791
392,5.712239
396,5.712687
400,5.713135
404,5.713583
408,5.714031
412,5.714478
416,5.714927
420,5.715374
424,5.715822
428,5.71627
432,5.716718
436,5.717166
440,5.717614
444,5.718062
448,5.71851
452,5.718958
456,5.719406
460,5.719853
464,5.720302
468,5.720749
472,5.721197
476,5.721645
480,5.722093
484,5.722541
488,5.722989
492,5.723437
496,5.723885
500,5.724333
504,5.724781
508,5.725229
512,5.725677
516,5.726124
520,5.726573
524,5.72702
528,5.727468
532,5.727916
536,5.728364
540,5.728812
544,5.72926
548,5.729708
552,5.730155
556,5.730604
560,5.731051
564,5.731499
568,5.731947
572,5.732395
576,5.732843
580,5.733291
584,5.733739
588,5.734187
592,5.734635
596,5.735083
600,5.73553
604,5.735979
608,5.736426
612,5.736874
616,5.737322
620,5.73777
624,5.738218
628,5.738666
632,5.739114
636,5.739562
640,5.74001
644,5.740458
648,5.740905
652,5.741354
656,5.741801
660,5.742249
664,5.742697
668,5.743145
672,5.743593
676,5.744041
680,5.744489
684,5.744936
688,5.745385
692,5.745832
696,5.74628
700,5.746728
704,5.747176
708,5.747624
712,5.748072
716,5.74852
720,5.748968
724,5.749416
728,5.749864
732,5.750312
736,5.75076
740,5.751207
744,5.751721
748,5.752629
752,5.754524
756,5.758543
760,5.765901
764,5.776934
768,5.79031
772,5.803512
776,5.814357
780,5.822104
784,5.827289
788,5.83089
792,5.833675
796,5.836139
800,5.838523
804,5.840877
808,5.84323
812,5.845583
816,5.847937
820,5.850291
824,5.852644
828,5.854998
832,5.857352
836,5.859705
840,5.862059
844,5.864413
848,5.866766
852,5.86912
856,5.871474
860,5.873827
864,5.876181
868,5.878534
872,5.880888
876,5.883242
880,5.88557
884,5.887797
888,5.889748
892,5.890908
896,5.890499
900,5.887477
904,5.88085
908,5.870543
912,5.858199
916,5.846889
920,5.839465
924,5.836957
928,5.838486
932,5.842401
936,5.8474
940,5.85274
944,5.858098
948,5.863232
952,5.86802
956,5.872391
960,5.876269
964,5.879405
968,5.881462
972,5.882357
976,5.88241
980,5.882023
984,5.881352
988,5.880286
992,5.87886
996,5.877423
1000,5.876369
1004,5.875956
1008,5.876137
1012,5.876699
1016,5.87745
1020,5.878364
1024,5.879471
1028,5.880945
1032,5.88295
1036,5.885405
1040,5.887967
1044,5.890372
1048,5.892817
1052,5.895831
1056,5.899745
1060,5.904412
1064,5.909435
1068,5.914496
1072,5.919445
1076,5.924158
1080,5.928335
1084,5.931632
1088,5.933763
