Time,Pupil Diameter
4,4.796402
8,4.796065
12,4.795649
16,4.795146
20,4.794551
24,4.793866
28,4.793088
32,4.792221
36,4.791267
40,4.79023
44,4.789117
48,4.787935
52,4.786692
56,4.785395
60,4.78405
64,4.782664
68,4.781244
72,4.779796
76,4.778326
80,4.776839
84,4.775343
88,4.773844
92,4.772351
96,4.770872
100,4.769416
104,4.767995
108,4.766617
112,4.765299
116,4.764052
120,4.762887
124,4.76182
128,4.760853
132,4.759997
136,4.759257
140,4.758638
144,4.75814
148,4.75776
152,4.757495
156,4.757339
160,4.757287
164,4.757328
168,4.757452
172,4.75765
176,4.757908
180,4.758217
184,4.758567
188,4.75895
192,4.759356
196,4.759772
200,4.760193
204,4.760614
208,4.76103
212,4.761434
216,4.76182
220,4.762186
224,4.762528
228,4.762847
232,4.763143
236,4.763415
240,4.763664
244,4.763892
248,4.764104
252,4.764303
256,4.764493
260,4.764678
264,4.764863
268,4.765053
272,4.765252
276,4.765464
280,4.765692
284,4.76594
288,4.76621
292,4.766503
296,4.766821
300,4.767164
304,4.767531
308,4.767921
312,4.768332
316,4.768762
320,4.769215
324,4.769676
328,4.770148
332,4.770626
336,4.771109
340,4.771595
344,4.772081
348,4.772565
352,4.773045
356,4.773519
360,4.773986
364,4.774444
368,4.774892
372,4.775328
376,4.775754
380,4.776169
384,4.77657
388,4.776956
392,4.777323
396,4.777673
400,4.778003
404,4.778312
408,4.778596
412,4.778853
416,4.779084
420,4.779289
424,4.779468
428,4.77962
432,4.779747
436,4.779855
440,4.779942
444,4.780013
448,4.780071
452,4.780117
456,4.780159
460,4.780213
464,4.780271
468,4.780352
472,4.780462
476,4.780612
480,4.780816
484,4.781085
488,4.781432
492,4.78187
496,4.782419
500,4.783085
504,4.783878
508,4.784804
512,4.785865
516,4.787071
520,4.788416
524,4.789898
528,4.791508
532,4.79324
536,4.795084
540,4.797029
544,4.799063
548,4.801177
552,4.803365
556,4.805623
560,4.807944
564,4.810325
568,4.812761
572,4.81525
576,4.817792
580,4.820386
584,4.82303
588,4.825714
592,4.828434
596,4.831183
600,4.833949
604,4.836718
608,4.83947
612,4.842189
616,4.844857
620,4.847454
624,4.84996
628,4.852355
632,4.854627
636,4.856754
640,4.858728
644,4.860539
648,4.862176
652,4.863627
656,4.864897
660,4.865976
664,4.866866
668,4.867566
672,4.868074
676,4.868384
680,4.868503
684,4.868427
688,4.868151
692,4.86768
696,4.867011
700,4.866142
704,4.865072
708,4.863797
712,4.862315
716,4.860625
720,4.858728
724,4.856618
728,4.854302
732,4.851783
736,4.849061
740,4.84614
744,4.84302
748,4.839708
752,4.836211
756,4.832532
760,4.828675
764,4.824647
768,4.820455
772,4.816106
776,4.811601
780,4.806948
784,4.802155
788,4.797226
792,4.792172
796,4.786998
800,4.781706
804,4.776311
808,4.77082
812,4.765244
816,4.759593
820,4.753876
824,4.748103
828,4.742288
832,4.736439
836,4.730567
840,4.724685
844,4.718802
848,4.712934
852,4.707084
856,4.701269
860,4.695496
864,4.689775
868,4.684117
872,4.678527
876,4.673013
880,4.667581
884,4.662238
888,4.656989
892,4.651837
896,4.646789
900,4.641847
904,4.637017
908,4.632301
912,4.627702
916,4.623224
920,4.618869
924,4.614635
928,4.610524
932,4.606535
936,4.602668
940,4.59892
944,4.595291
948,4.591779
952,4.588383
956,4.5851
960,4.581926
964,4.578861
968,4.575907
972,4.573057
976,4.570307
980,4.567655
984,4.5651
988,4.56264
992,4.560278
996,4.558003
1000,4.555815
1004,4.553711
1008,4.55169
1012,4.549749
1016,4.547888
1020,4.546102
1024,4.544386
1028,4.542739
1032,4.541161
1036,4.539655
1040,4.538221
1044,4.536863
1048,4.535581
1052,4.534377
1056,4.533258
1060,4.532229
1064,4.531294
1068,4.530459
1072,4.529732
1076,4.529117
1080,4.528621
1084,4.528248
1088,4.528003
1092,4.52789
1096,4.527908
1100,4.528058
1104,4.528339
1108,4.528749
1112,4.529287
1116,4.529949
1120,4.530729
1124,4.53162
1128,4.532616
1132,4.533713
1136,4.534904
1140,4.536181
1144,4.537534
1148,4.538954
1152,4.540431
1156,4.541957
1160,4.543525
1164,4.545128
1168,4.546756
1172,4.5484
1176,4.550049
1180,4.551692
1184,4.553321
1188,4.554926
1192,4.556499
1196,4.558026
1200,4.559501
1204,4.560912
1208,4.562252
1212,4.563511
1216,4.564684
1220,4.56575
1224,4.566701
1228,4.567525
1232,4.568215
1236,4.568753
1240,4.569134
1244,4.569346
1248,4.56938
1252,4.569229
1256,4.568881
1260,4.568336
1264,4.567586
1268,4.566626
1272,4.565456
1276,4.564074
1280,4.562478
1284,4.56067
1288,4.558654
1292,4.556432
1296,4.554007
1300,4.551383
1304,4.548552
1308,4.545521
1312,4.542298
1316,4.53889
1320,4.535298
1324,4.531521
1328,4.527571
1332,4.523454
1336,4.519176
1340,4.514745
1344,4.510169
1348,4.505456
1352,4.500608
1356,4.495638
1360,4.490551
1364,4.485354
1368,4.480055
1372,4.474662
1376,4.469178
1380,4.463608
1384,4.457955
1388,4.452229
1392,4.446431
1396,4.440563
1400,4.434631
1404,4.428638
1408,4.422589
1412,4.416495
1416,4.410354
1420,4.404168
1424,4.397943
1428,4.391688
1432,4.385407
1436,4.379107
1440,4.372797
1444,4.366479
1448,4.360163
1452,4.353853
1456,4.347557
1460,4.341277
1464,4.335019
1468,4.328794
1472,4.322597
1476,4.316428
1480,4.310289
1484,4.304175
1488,4.298087
1492,4.292023
1496,4.285987
1500,4.279968
1504,4.273957
1508,4.267945
1512,4.261936
1516,4.255928
1520,4.249914
1524,4.243893
1528,4.237866
1532,4.231833
1536,4.225794
1540,4.219753
1544,4.213718
1548,4.207692
1552,4.201685
1556,4.195707
1560,4.189766
1564,4.183872
1568,4.178037
1572,4.172273
1576,4.166593
1580,4.161007
1584,4.155526
1588,4.150163
1592,4.144918
1596,4.139801
1600,4.13482
1604,4.129981
1608,4.125288
1612,4.120742
1616,4.116346
1620,4.112101
1624,4.108002
1628,4.104046
1632,4.100232
1636,4.096557
1640,4.093021
1644,4.089621
1648,4.086355
1652,4.083229
1656,4.080235
1660,4.077374
1664,4.074654
1668,4.072076
1672,4.069642
1676,4.067356
1680,4.065214
1684,4.063216
1688,4.061365
1692,4.059657
1696,4.058091
1700,4.056664
1704,4.055365
1708,4.054188
1712,4.053124
1716,4.052166
1720,4.051304
1724,4.05053
1728,4.049837
1732,4.049218
1736,4.048669
1740,4.048186
1744,4.047762
1748,4.047398
1752,4.047093
1756,4.04685
1760,4.04667
1764,4.046556
1768,4.046505
1772,4.046521
1776,4.046606
1780,4.046762
1784,4.046999
1788,4.047311
1792,4.047702
1796,4.048173
1800,4.048726
1804,4.049358
1808,4.050068
1812,4.050855
1816,4.051714
1820,4.052643
1824,4.053636
1828,4.054686
1832,4.055785
1836,4.056928
1840,4.058108
1844,4.059316
1848,4.060544
1852,4.06179
1856,4.063049
1860,4.064317
1864,4.065591
1868,4.066872
1872,4.068157
1876,4.069445
1880,4.070735
1884,4.072025
1888,4.073315
1892,4.074611
1896,4.075908
1900,4.077207
1904,4.078508
1908,4.079814
1912,4.081124
1916,4.082441
1920,4.083768
1924,4.085107
1928,4.086467
1932,4.087855
