Time,Pupil Diameter
4,3.375626
8,3.375526
12,3.375384
16,3.375185
20,3.374919
24,3.374579
28,3.374156
32,3.373643
36,3.373031
40,3.372317
44,3.371497
48,3.370563
52,3.369518
56,3.368381
60,3.367177
64,3.36595
68,3.364762
72,3.363657
76,3.362658
80,3.361765
84,3.360952
88,3.360176
92,3.359379
96,3.358515
100,3.357553
104,3.356492
108,3.355345
112,3.354133
116,3.352877
120,3.351594
124,3.350291
128,3.348967
132,3.347614
136,3.346228
140,3.344815
144,3.343393
148,3.341979
152,3.340595
156,3.339259
160,3.337983
164,3.336766
168,3.335616
172,3.334525
176,3.333482
180,3.332479
184,3.331515
188,3.330595
192,3.32973
196,3.32893
200,3.328202
204,3.327544
208,3.326942
212,3.326368
216,3.325791
220,3.325177
224,3.324504
228,3.323748
232,3.322897
236,3.321954
240,3.320935
244,3.319861
248,3.318746
252,3.317596
256,3.31641
260,3.315182
264,3.313906
268,3.312585
272,3.311235
276,3.30989
280,3.308597
284,3.307407
288,3.306361
292,3.305487
296,3.304792
300,3.304264
304,3.303879
308,3.303607
312,3.303417
316,3.30328
320,3.303175
324,3.303093
328,3.303022
332,3.302948
336,3.302865
340,3.302773
344,3.302671
348,3.302562
352,3.30245
356,3.302336
360,3.302218
364,3.302095
368,3.301963
372,3.301808
376,3.301618
380,3.301377
384,3.301075
388,3.300709
392,3.300282
396,3.299809
400,3.299311
404,3.298813
408,3.298338
412,3.297904
416,3.297523
420,3.297197
424,3.296925
428,3.296699
432,3.296513
436,3.296354
440,3.296223
444,3.296108
448,3.296002
452,3.295905
456,3.29581
460,3.295713
464,3.29561
468,3.2955
472,3.295374
476,3.295227
480,3.295047
484,3.294825
488,3.294548
492,3.294209
496,3.293811
500,3.293346
504,3.29282
508,3.292248
512,3.291642
516,3.291017
520,3.290385
524,3.289755
528,3.289128
532,3.288501
536,3.287868
540,3.287223
544,3.286564
548,3.285893
552,3.28522
556,3.284556
560,3.283917
564,3.283326
568,3.282791
572,3.282314
576,3.281894
580,3.281549
584,3.281277
588,3.281076
592,3.280933
596,3.280842
600,3.280775
604,3.280699
608,3.280592
612,3.280425
616,3.280188
620,3.279882
624,3.279508
628,3.279078
632,3.278608
636,3.278116
640,3.277619
644,3.27713
648,3.276673
652,3.276268
656,3.27592
660,3.275633
664,3.275409
668,3.275232
672,3.275084
676,3.274936
680,3.274767
684,3.274555
688,3.274283
692,3.273947
696,3.273542
700,3.27307
704,3.272548
708,3.272004
712,3.271477
716,3.271013
720,3.270661
724,3.270446
728,3.270386
732,3.270469
736,3.270666
740,3.270918
744,3.271159
748,3.27134
752,3.271417
756,3.271375
760,3.271223
764,3.270986
768,3.270695
772,3.270386
776,3.270086
780,3.26981
784,3.269557
788,3.269316
792,3.269084
796,3.268851
800,3.268608
804,3.268357
808,3.268098
812,3.267841
816,3.267608
820,3.267416
824,3.26729
828,3.267254
832,3.267329
836,3.267533
840,3.267855
844,3.26827
848,3.268729
852,3.26917
856,3.269523
860,3.269717
864,3.269688
868,3.269403
872,3.268869
876,3.268127
880,3.267246
884,3.266321
888,3.265458
892,3.264745
896,3.264248
900,3.263985
904,3.26394
908,3.264058
912,3.264267
916,3.264492
920,3.264666
924,3.264732
928,3.26465
932,3.2644
936,3.263982
940,3.263408
944,3.26271
948,3.261932
952,3.261127
956,3.260357
960,3.259676
964,3.259094
968,3.258601
972,3.258152
976,3.25766
980,3.257052
984,3.256232
988,3.255124
992,3.253663
996,3.251821
1000,3.249605
1004,3.247056
1008,3.244254
1012,3.241315
1016,3.238374
1020,3.235584
1024,3.23307
1028,3.230919
1032,3.229176
1036,3.227845
1040,3.226876
1044,3.226191
1048,3.225702
1052,3.225313
1056,3.224939
1060,3.224519
1064,3.22401
1068,3.223396
1072,3.22269
1076,3.221897
1080,3.22106
1084,3.220216
1088,3.219405
1092,3.218651
1096,3.217971
1100,3.217374
1104,3.216859
1108,3.216424
1112,3.216067
1116,3.215788
1120,3.2156
1124,3.215514
1128,3.215545
1132,3.215704
1136,3.216004
1140,3.216444
1144,3.217008
1148,3.217672
1152,3.218393
1156,3.219113
1160,3.219785
1164,3.220362
1168,3.220798
1172,3.221068
1176,3.221162
1180,3.221092
1184,3.220902
1188,3.220646
1192,3.220394
1196,3.220222
1200,3.220196
1204,3.220355
1208,3.220704
1212,3.221209
1216,3.221817
1220,3.222467
1224,3.223107
1228,3.22371
1232,3.224272
1236,3.224815
1240,3.225368
1244,3.225972
1248,3.226653
1252,3.227419
1256,3.228247
1260,3.229115
1264,3.229995
1268,3.23085
1272,3.231652
1276,3.232372
1280,3.232977
1284,3.233452
1288,3.233769
1292,3.233904
1296,3.233843
1300,3.23358
1304,3.233127
1308,3.232503
1312,3.231735
1316,3.230865
1320,3.229941
1324,3.229009
1328,3.228113
1332,3.227285
1336,3.226539
1340,3.225863
1344,3.225245
1348,3.224656
1352,3.224064
1356,3.223424
1360,3.222715
1364,3.221925
1368,3.221051
1372,3.220093
1376,3.219059
1380,3.21796
1384,3.216812
1388,3.215637
1392,3.214459
1396,3.213303
1400,3.212196
1404,3.211161
1408,3.210209
1412,3.209335
1416,3.208526
1420,3.207767
1424,3.207046
1428,3.206366
1432,3.205742
1436,3.2052
1440,3.204762
1444,3.204442
1448,3.20424
1452,3.204139
1456,3.204091
1460,3.204048
1464,3.203965
1468,3.203803
1472,3.203539
1476,3.203164
1480,3.202682
1484,3.202104
1488,3.201442
1492,3.200715
1496,3.199941
1500,3.199142
1504,3.198343
1508,3.197575
1512,3.196868
1516,3.196246
1520,3.195725
1524,3.195309
1528,3.19499
1532,3.194748
1536,3.194572
1540,3.194448
1544,3.194359
1548,3.194301
1552,3.194266
1556,3.194253
1560,3.194277
1564,3.194357
1568,3.194516
1572,3.194778
1576,3.19517
1580,3.195694
1584,3.19632
1588,3.196999
1592,3.197679
1596,3.198301
1600,3.198819
1604,3.199223
1608,3.19953
1612,3.199778
1616,3.200016
1620,3.20031
1624,3.20071
1628,3.201252
1632,3.201938
1636,3.202753
1640,3.203671
1644,3.204647
1648,3.205641
1652,3.206614
1656,3.207537
1660,3.208407
1664,3.209231
1668,3.210026
1672,3.210816
1676,3.211639
1680,3.21253
1684,3.213513
1688,3.214609
1692,3.215844
1696,3.217227
1700,3.218744
1704,3.220372
1708,3.222068
1712,3.223776
1716,3.225423
1720,3.226949
1724,3.228304
1728,3.229456
1732,3.230392
1736,3.231115
1740,3.231646
1744,3.232017
1748,3.232263
1752,3.232417
1756,3.232506
1760,3.232555
1764,3.23258
1768,3.232591
1772,3.232594
1776,3.232594
1780,3.232594
1784,3.232594
1788,3.232595
1792,3.232602
1796,3.232619
1800,3.232654
1804,3.232721
1808,3.232839
1812,3.233036
1816,3.23334
1820,3.233787
1824,3.23441
1828,3.235237
1832,3.23628
1836,3.237537
1840,3.238983
1844,3.240576
1848,3.242259
1852,3.24397
1856,3.24565
1860,3.247249
1864,3.248737
1868,3.250097
1872,3.251331
1876,3.252454
1880,3.253484
1884,3.254445
1888,3.255355
1892,3.256232
1896,3.25709
1900,3.257937
1904,3.258777
1908,3.259614
1912,3.260451
1916,3.261288
1920,3.262125
1924,3.262962
1928,3.2638
1932,3.264637
1936,3.265476
1940,3.266323
1944,3.267178
1948,3.268053
1952,3.268954
1956,3.269894
1960,3.270892
1964,3.271966
1968,3.273137
1972,3.274423
1976,3.275836
1980,3.277381
1984,3.279058
1988,3.280864
1992,3.282796
1996,3.284851
2000,3.287021
2004,3.289294
2008,3.291646
2012,3.294043
2016,3.296448
2020,3.298819
2024,3.301128
2028,3.30336
2032,3.305524
2036,3.307647
2040,3.309771
2044,3.311934
2048,3.314175
2052,3.316512
