Time,Pupil Diameter
4,3.718659
8,3.718718
12,3.718495
16,3.718714
20,3.720416
24,3.724048
28,3.729031
32,3.734185
36,3.738529
40,3.741708
44,3.743876
48,3.745375
52,3.746633
56,3.74806
60,3.749834
64,3.751759
68,3.75355
72,3.75512
76,3.756625
80,3.758186
84,3.75973
88,3.761061
92,3.762126
96,3.763221
100,3.764759
104,3.766943
108,3.769567
112,3.772169
116,3.774523
120,3.776741
124,3.778997
128,3.781183
132,3.782936
136,3.784018
140,3.784544
144,3.784927
148,3.785582
152,3.78668
156,3.788061
160,3.789441
164,3.790558
168,3.791278
172,3.791534
176,3.791432
180,3.791196
184,3.791166
188,3.791673
192,3.792922
196,3.794765
200,3.796745
204,3.798362
208,3.799358
212,3.799823
216,3.799931
220,3.79975
224,3.799425
228,3.799258
232,3.799551
236,3.800343
240,3.801343
244,3.802221
248,3.802806
252,3.803025
256,3.802938
260,3.802589
264,3.802147
268,3.801841
272,3.80187
276,3.802228
280,3.802616
284,3.802436
288,3.801271
292,3.799285
296,3.797169
300,3.795642
304,3.794929
308,3.794961
312,3.795506
316,3.796344
320,3.797121
324,3.797485
328,3.797243
332,3.796522
336,3.79556
340,3.794703
344,3.794167
348,3.793991
352,3.794134
356,3.794437
360,3.794701
364,3.794702
368,3.794452
372,3.794342
376,3.79472
380,3.795495
384,3.79616
388,3.796321
392,3.796097
396,3.79579
400,3.79559
404,3.795588
408,3.795802
412,3.796254
416,3.796846
420,3.797534
424,3.798434
428,3.799487
432,3.800269
436,3.800295
440,3.79944
444,3.797995
448,3.796385
452,3.795059
456,3.794545
460,3.795229
464,3.797071
468,3.799519
472,3.801906
476,3.803942
480,3.805754
484,3.807549
488,3.809266
492,3.810563
496,3.811038
500,3.8105
504,3.809122
508,3.807431
512,3.806224
516,3.806237
520,3.8076
524,3.809767
528,3.812032
532,3.814089
536,3.816066
540,3.818115
544,3.820175
548,3.822036
552,3.823633
556,3.825023
560,3.826217
564,3.82721
568,3.828082
572,3.829061
576,3.830317
580,3.831741
584,3.83302
588,3.833851
592,3.834163
596,3.834058
600,3.833806
604,3.833773
608,3.834201
612,3.834973
616,3.835686
620,3.836054
624,3.836097
628,3.835957
632,3.835709
