Time,Pupil Diameter
4,4.520644
8,4.521418
12,4.521842
16,4.522007
20,4.522127
24,4.522316
28,4.522507
32,4.522586
36,4.522517
40,4.522324
44,4.522079
48,4.521807
52,4.521603
56,4.521515
60,4.521547
64,4.521642
68,4.521761
72,4.522015
76,4.522627
80,4.523573
84,4.524425
88,4.524648
92,4.524107
96,4.523159
100,4.522275
104,4.521688
108,4.521343
112,4.52123
116,4.521467
120,4.52217
124,4.523293
128,4.524569
132,4.525667
136,4.526305
140,4.526554
144,4.526817
148,4.527501
152,4.528644
156,4.529945
160,4.531192
164,4.53243
168,4.533795
172,4.53544
176,4.537514
180,4.540086
184,4.542873
188,4.545245
192,4.54665
196,4.547146
200,4.547235
204,4.547407
208,4.54774
212,4.547964
216,4.54788
220,4.547634
224,4.547565
228,4.547965
232,4.548808
236,4.549779
240,4.550576
244,4.551185
248,4.551849
252,4.552785
256,4.554001
260,4.555301
264,4.556498
268,4.557599
272,4.5586
276,4.559454
280,4.560137
284,4.560797
288,4.561678
292,4.56273
296,4.563538
300,4.563641
304,4.563085
308,4.562345
312,4.561907
316,4.562004
320,4.562616
324,4.563461
328,4.564246
332,4.564632
336,4.564556
340,4.564219
344,4.563947
348,4.563879
352,4.563984
356,4.564282
360,4.564892
364,4.565953
368,4.567387
372,4.568857
376,4.569829
380,4.5699
384,4.569005
388,4.567528
392,4.566116
396,4.565238
400,4.565018
404,4.565352
408,4.566014
412,4.566631
416,4.566863
420,4.566565
424,4.566002
428,4.565629
432,4.565602
436,4.565681
440,4.565584
444,4.565454
448,4.565611
452,4.566113
456,4.566701
460,4.56716
464,4.567628
468,4.568427
472,4.569755
476,4.571583
480,4.573764
484,4.576101
488,4.578362
492,4.580342
496,4.58197
500,4.583147
504,4.583767
508,4.583825
512,4.583543
516,4.583401
520,4.58382
524,4.584954
528,4.586643
532,4.588592
536,4.59047
540,4.591998
544,4.592997
548,4.593437
552,4.593508
556,4.593544
560,4.593894
564,4.594633
568,4.595527
572,4.596287
576,4.59691
580,4.597525
584,4.598208
588,4.598751
592,4.59901
596,4.599091
600,4.599259
604,4.599647
608,4.600206
612,4.600923
616,4.601944
620,4.603404
624,4.605201
628,4.606888
632,4.607867
636,4.607776
640,4.606581
644,4.60475
648,4.603031
652,4.602153
656,4.602348
660,4.603342
664,4.604781
668,4.606601
672,4.608842
676,4.611064
680,4.612403
684,4.612424
688,4.61163
692,4.610869
696,4.610507
700,4.610244
704,4.609822
708,4.609459
712,4.609591
716,4.61024
720,4.61096
724,4.611467
728,4.611901
732,4.612627
736,4.613719
740,4.614774
744,4.615298
748,4.615106
752,4.614454
756,4.61381
760,4.613619
764,4.614163
768,4.615513
772,4.617449
776,4.619498
780,4.620986
784,4.621352
788,4.62053
792,4.618996
796,4.617349
800,4.615906
804,4.614707
808,4.61383
812,4.613484
816,4.613673
820,4.61414
824,4.61457
828,4.615001
832,4.615759
836,4.617088
840,4.618973
844,4.621403
848,4.624498
852,4.628436
856,4.632718
860,4.635783
864,4.635696
868,4.63131
872,4.622826
876,4.611527
880,4.599303
884,4.588391
888,4.580987
892,4.578326
896,4.579846
900,4.583424
904,4.586645
908,4.588097
912,4.587623
916,4.585749
920,4.583083
924,4.580186
928,4.577658
932,4.575834
936,4.574692
940,4.573982
944,4.573449
948,4.572907
952,4.572186
956,4.571216
960,4.569993
964,4.568625
968,4.567397
972,4.566658
976,4.566582
980,4.56705
984,4.567681
988,4.568105
992,4.568136
996,4.567821
1000,4.567431
1004,4.567179
1008,4.56699
1012,4.566516
1016,4.565447
1020,4.563795
1024,4.561882
1028,4.560082
1032,4.558692
1036,4.557775
1040,4.557267
1044,4.556963
1048,4.556671
1052,4.55613
1056,4.555037
1060,4.553185
1064,4.550697
1068,4.54805
1072,4.545695
1076,4.543696
1080,4.541817
1084,4.539927
1088,4.538116
1092,4.536533
1096,4.535271
1100,4.534396
1104,4.533731
1108,4.532956
1112,4.531809
1116,4.530339
1120,4.528883
1124,4.527597
1128,4.526317
1132,4.524785
1136,4.522951
1140,4.521039
1144,4.519224
1148,4.517478
1152,4.515709
1156,4.513936
1160,4.512303
1164,4.510867
1168,4.509465
1172,4.508045
1176,4.506609
1180,4.50509
1184,4.503278
1188,4.50096
1192,4.498117
1196,4.494879
1200,4.491494
1204,4.488344
1208,4.485827
1212,4.484013
1216,4.482502
1220,4.480686
1224,4.478287
1228,4.475523
1232,4.472944
1236,4.471334
1240,4.47171
1244,4.47512
1248,4.48208
1252,4.4919
1256,4.502677
1260,4.512149
1264,4.51874
1268,4.522233
1272,4.523535
1276,4.523894
1280,4.524072
1284,4.523981
1288,4.523081
1292,4.520986
1296,4.517815
1300,4.51407
1304,4.510195
1308,4.506281
1312,4.502203
1316,4.497843
1320,4.493357
1324,4.489013
1328,4.484993
1332,4.481234
1336,4.477551
1340,4.473804
1344,4.470095
1348,4.466816
1352,4.464433
1356,4.462989
1360,4.461936
1364,4.460586
1368,4.458606
1372,4.456155
1376,4.453537
1380,4.451054
1384,4.448956
1388,4.447349
1392,4.445978
1396,4.444468
1400,4.442493
1404,4.440012
1408,4.437269
1412,4.434606
1416,4.432292
1420,4.430388
1424,4.4288
1428,4.427469
1432,4.426408
1436,4.425501
1440,4.424272
1444,4.422224
1448,4.419147
1452,4.415348
1456,4.411364
1460,4.407747
1464,4.40488
1468,4.402971
1472,4.401785
1476,4.400699
1480,4.399081
1484,4.396786
1488,4.394296
1492,4.392313
1496,4.391241
1500,4.390964
1504,4.391024
1508,4.39103
1512,4.390805
1516,4.390318
1520,4.389535
1524,4.388265
1528,4.386227
1532,4.383153
1536,4.379177
1540,4.374893
1544,4.37117
1548,4.368588
1552,4.367165
1556,4.366426
1560,4.365672
1564,4.364409
1568,4.362612
1572,4.360664
1576,4.358978
1580,4.357427
1584,4.355467
1588,4.352709
1592,4.349369
1596,4.346051
1600,4.343095
1604,4.340364
1608,4.337708
1612,4.335181
1616,4.332986
1620,4.330986
1624,4.32883
1628,4.326242
1632,4.323228
1636,4.319965
1640,4.316565
1644,4.31315
1648,4.309852
1652,4.306742
1656,4.303773
1660,4.300745
1664,4.297495
1668,4.294034
1672,4.290733
1676,4.28816
1680,4.286629
1684,4.286011
1688,4.28583
1692,4.285643
1696,4.28517
1700,4.284178
1704,4.282423
1708,4.279768
1712,4.276195
1716,4.271952
1720,4.267473
1724,4.263382
1728,4.260245
1732,4.258105
1736,4.256424
1740,4.254329
1744,4.251136
1748,4.246859
1752,4.24202
1756,4.237391
1760,4.233643
1764,4.231088
1768,4.229674
1772,4.228881
1776,4.227881
1780,4.226019
1784,4.223098
1788,4.219607
1792,4.216386
1796,4.213858
1800,4.21175
1804,4.209299
1808,4.206101
1812,4.202575
1816,4.199788
1820,4.198682
1824,4.199366
1828,4.201036
1832,4.202489
1836,4.202824
1840,4.201797
1844,4.19973
1848,4.197161
1852,4.194493
1856,4.191938
1860,4.189655
1864,4.187683
1868,4.186002
1872,4.184522
1876,4.183334
1880,4.18267
1884,4.182738
1888,4.183339
1892,4.183935
1896,4.183939
1900,4.183117
1904,4.181627
1908,4.179842
1912,4.178034
1916,4.176297
1920,4.174681
1924,4.173252
1928,4.171991
1932,4.170739
1936,4.169531
1940,4.168634
1944,4.168392
1948,4.168862
1952,4.169716
1956,4.170424
1960,4.170635
1964,4.17036
1968,4.169981
1972,4.169838
1976,4.169847
1980,4.169596
1984,4.168619
1988,4.16676
1992,4.164303
1996,4.161892
2000,4.160308
2004,4.159952
2008,4.16059
2012,4.161645
2016,4.162698
2020,4.163623
2024,4.164374
2028,4.16483
2032,4.164919
2036,4.164598
2040,4.164066
2044,4.163672
2048,4.16369
2052,4.164185
2056,4.164928
2060,4.165626
2064,4.166073
2068,4.166209
2072,4.166245
2076,4.166532
2080,4.16736
2084,4.168754
2088,4.170446
2092,4.172181
2096,4.173842
2100,4.175422
2104,4.176924
2108,4.17834
2112,4.179697
2116,4.181045
2120,4.182392
2124,4.18391
2128,4.185863
2132,4.188477
2136,4.191484
2140,4.194198
2144,4.195744
2148,4.195779
2152,4.194882
2156,4.194242
2160,4.194833
2164,4.196653
2168,4.199005
2172,4.201198
2176,4.203137
2180,4.205164
2184,4.20766
2188,4.210769
2192,4.214438
2196,4.218315
2200,4.221872
2204,4.224601
2208,4.226342
2212,4.227357
2216,4.228299
2220,4.229812
2224,4.232167
2228,4.235101
2232,4.238142
2236,4.240932
2240,4.243532
2244,4.246107
2248,4.248641
2252,4.250896
2256,4.252767
2260,4.25448
2264,4.256323
2268,4.258479
2272,4.261043
2276,4.264021
2280,4.267232
2284,4.270196
2288,4.272542
2292,4.274444
2296,4.276566
2300,4.279465
2304,4.283039
2308,4.286808
2312,4.290352
2316,4.293585
2320,4.29677
2324,4.300334
2328,4.304496
2332,4.308976
2336,4.313097
2340,4.316275
2344,4.318518
2348,4.320379
2352,4.322361
2356,4.324561
2360,4.326882
2364,4.329197
2368,4.331366
2372,4.333277
2376,4.335047
2380,4.337092
2384,4.339899
2388,4.343562
2392,4.347631
2396,4.351531
2400,4.35489
2404,4.357623
2408,4.359611
2412,4.360787
2416,4.361473
2420,4.36248
2424,4.364902
2428,4.369291
2432,4.375141
2436,4.381191
2440,4.386231
2444,4.38974
2448,4.392025
2452,4.393716
2456,4.395502
2460,4.397756
2464,4.400433
2468,4.403212
2472,4.405685
2476,4.407825
2480,4.409867
2484,4.412012
2488,4.41429
2492,4.416626
2496,4.418937
2500,4.421172
2504,4.42326
2508,4.425194
2512,4.427032
2516,4.428735
2520,4.430219
2524,4.431664
2528,4.433549
2532,4.436193
2536,4.439427
2540,4.442728
2544,4.445689
2548,4.448259
2552,4.450554
2556,4.452603
2560,4.454349
2564,4.455756
2568,4.456973
2572,4.458259
2576,4.459957
2580,4.462307
2584,4.465326
2588,4.468713
2592,4.471902
2596,4.47443
2600,4.476296
2604,4.477878
2608,4.479726
2612,4.482219
2616,4.485431
2620,4.489177
2624,4.492969
2628,4.496419
2632,4.499373
2636,4.501919
2640,4.50423
2644,4.506289
2648,4.508037
2652,4.509578
2656,4.511111
2660,4.512837
2664,4.514811
2668,4.51693
2672,4.51897
2676,4.52065
2680,4.522084
2684,4.524052
2688,4.527466
2692,4.532475
2696,4.538086
2700,4.542941
2704,4.546305
2708,4.54826
2712,4.549292
2716,4.549836
2720,4.550129
2724,4.550516
2728,4.551507
2732,4.553456
2736,4.556162
2740,4.558932
2744,4.561124
2748,4.562777
2752,4.564487
2756,4.566761
2760,4.569501
2764,4.572195
2768,4.574342
2772,4.575773
2776,4.576673
2780,4.57751
2784,4.57886
2788,4.581065
2792,4.584083
2796,4.587549
2800,4.591141
2804,4.594676
2808,4.598015
2812,4.600859
2816,4.602894
2820,4.60395
2824,4.604254
2828,4.6044
2832,4.604961
2836,4.606243
2840,4.608242
2844,4.610763
2848,4.613559
2852,4.616249
2856,4.618357
2860,4.619581
2864,4.61997
2868,4.619895
2872,4.619902
2876,4.620527
2880,4.62218
2884,4.625011
2888,4.628657
2892,4.63239
2896,4.635228
2900,4.636486
2904,4.636343
2908,4.635716
2912,4.635656
2916,4.63668
2920,4.638627
2924,4.641158
2928,4.643835
2932,4.646119
2936,4.647729
2940,4.648758
2944,4.649663
2948,4.650667
2952,4.651697
2956,4.65278
2960,4.654255
2964,4.65645
2968,4.659163
2972,4.661623
2976,4.663108
2980,4.663614
2984,4.663884
2988,4.664791
2992,4.666703
2996,4.669153
3000,4.671224
3004,4.672336
3008,4.672668
3012,4.67314
3016,4.674611
3020,4.677181
3024,4.68023
3028,4.683063
3032,4.685474
3036,4.687586
3040,4.689478
3044,4.691185
3048,4.692811
3052,4.694558
3056,4.696524
3060,4.698496
3064,4.700191
3068,4.701367
3072,4.701896
3076,4.701879
3080,4.701697
3084,4.70194
3088,4.703004
3092,4.704913
3096,4.707464
3100,4.710359
3104,4.713298
3108,4.715942
3112,4.718015
3116,4.719491
3120,4.720655
3124,4.721871
3128,4.723268
3132,4.724754
3136,4.726194
3140,4.727626
3144,4.72902
3148,4.730256
3152,4.731162
3156,4.731868
3160,4.732691
3164,4.733961
3168,4.735788
3172,4.738118
3176,4.740682
3180,4.743129
3184,4.745124
3188,4.746448
3192,4.747178
3196,4.74761
3200,4.748174
3204,4.749134
3208,4.750439
3212,4.751904
3216,4.753477
3220,4.755401
3224,4.75798
3228,4.761313
3232,4.765042
3236,4.768326
3240,4.770262
3244,4.770625
3248,4.770158
3252,4.770048
3256,4.770922
3260,4.772348
3264,4.773468
3268,4.773795
3272,4.773513
3276,4.772928
3280,4.772222
3284,4.771584
3288,4.771364
3292,4.771859
3296,4.773053
3300,4.774509
3304,4.775765
3308,4.776668
3312,4.777264
3316,4.777723
3320,4.778252
3324,4.77917
3328,4.780756
3332,4.783042
3336,4.785781
3340,4.788533
3344,4.790897
3348,4.792748
3352,4.794137
3356,4.795143
3360,4.795819
3364,4.796248
3368,4.796844
3372,4.798115
3376,4.800168
3380,4.802601
3384,4.804725
3388,4.806032
3392,4.806413
3396,4.806153
3400,4.80577
3404,4.805745
3408,4.806228
3412,4.807154
3416,4.808305
3420,4.809545
3424,4.81071
3428,4.811639
3432,4.812399
3436,4.813332
3440,4.814748
3444,4.816624
3448,4.818504
3452,4.819836
3456,4.820383
3460,4.820404
3464,4.820414
3468,4.820838
3472,4.821771
3476,4.82312
3480,4.824844
3484,4.826898
3488,4.829156
3492,4.831443
3496,4.833635
3500,4.835615
3504,4.83723
3508,4.838347
3512,4.839074
3516,4.839642
3520,4.840178
3524,4.84063
3528,4.840915
3532,4.840984
3536,4.840768
3540,4.840329
3544,4.839989
3548,4.840192
3552,4.84113
3556,4.84258
3560,4.844131
3564,4.845573
3568,4.847006
3572,4.848655
3576,4.850592
3580,4.852667
3584,4.854453
3588,4.85564
3592,4.856239
3596,4.856431
3600,4.856293
3604,4.855752
3608,4.854887
3612,4.854088
3616,4.853885
3620,4.854488
3624,4.855747
3628,4.857285
3632,4.858807
3636,4.860111
3640,4.861189
3644,4.862137
3648,4.863125
3652,4.864222
3656,4.865447
3660,4.866639
3664,4.867446
3668,4.867673
3672,4.867386
3676,4.866882
3680,4.86641
3684,4.866146
3688,4.866394
3692,4.867561
3696,4.869769
3700,4.872662
3704,4.875546
3708,4.877895
3712,4.879533
3716,4.880631
3720,4.881447
3724,4.882014
3728,4.88228
3732,4.882296
3736,4.882334
3740,4.882708
3744,4.883558
3748,4.884858
3752,4.886563
3756,4.888629
3760,4.8909
3764,4.893044
3768,4.894702
3772,4.895808
3776,4.89663
3780,4.897503
3784,4.898435
3788,4.899219
3792,4.899878
3796,4.900725
3800,4.901949
3804,4.90326
3808,4.90409
3812,4.904153
3816,4.903682
3820,4.903196
3824,4.90319
3828,4.903859
3832,4.905103
3836,4.906668
3840,4.908298
3844,4.909836
3848,4.911206
3852,4.912311
3856,4.913064
3860,4.913453
3864,4.913617
3868,4.913878
3872,4.914598
3876,4.915885
3880,4.917365
3884,4.918287
3888,4.91797
3892,4.916416
3896,4.914482
3900,4.913317
3904,4.913393
3908,4.914292
3912,4.91535
3916,4.916368
3920,4.917708
3924,4.92
3928,4.923717
3932,4.928736
3936,4.934251
3940,4.939102
3944,4.942268
3948,4.943248
3952,4.942114
3956,4.939494
3960,4.936377
3964,4.933676
3968,4.931777
3972,4.930525
3976,4.929596
3980,4.928758
3984,4.928004
3988,4.927528
3992,4.927552
3996,4.928071
4000,4.928794
4004,4.929427
4008,4.929849
4012,4.929988
4016,4.929534
4020,4.928093
4024,4.925692
4028,4.923056
4032,4.920991
4036,4.919744
4040,4.918862
4044,4.917951
4048,4.917079
4052,4.916559
4056,4.916452
4060,4.916426
4064,4.916198
4068,4.91573
4072,4.915238
4076,4.914907
4080,4.914814
4084,4.914848
4088,4.914712
4092,4.914068
4096,4.912851
4100,4.911347
4104,4.910045
4108,4.909156
4112,4.908608
4116,4.908258
4120,4.908229
4124,4.90875
4128,4.909731
4132,4.910661
4136,4.910966
4140,4.910478
4144,4.909454
4148,4.908362
4152,4.907605
4156,4.907343
4160,4.90742
4164,4.907591
4168,4.907902
4172,4.908687
4176,4.910074
4180,4.911626
4184,4.912636
4188,4.912799
4192,4.912472
4196,4.912185
4200,4.912208
4204,4.912435
4208,4.912619
4212,4.912617
4216,4.912444
4220,4.912305
4224,4.912467
4228,4.913077
4232,4.913912
4236,4.914527
4240,4.914583
4244,4.914139
4248,4.913697
4252,4.913793
4256,4.91477
4260,4.916673
4264,4.919378
4268,4.922579
4272,4.925568
4276,4.927448
4280,4.927719
4284,4.926717
4288,4.925282
4292,4.924096
4296,4.923273
4300,4.922626
4304,4.922005
4308,4.921477
4312,4.921223
4316,4.921368
4320,4.921912
4324,4.922834
4328,4.92414
4332,4.925817
4336,4.92761
4340,4.929089
4344,4.930023
4348,4.930584
4352,4.931187
4356,4.932091
4360,4.933261
4364,4.934557
4368,4.935846
4372,4.936956
4376,4.937768
4380,4.938401
4384,4.939141
4388,4.940099
4392,4.941062
4396,4.941801
4400,4.942555
4404,4.943844
4408,4.945991
4412,4.948764
4416,4.951483
4420,4.953617
4424,4.955059
4428,4.956037
4432,4.956751
4436,4.957155
4440,4.95717
4444,4.956789
4448,4.956315
4452,4.956259
4456,4.95702
4460,4.958673
4464,4.960886
4468,4.963211
4472,4.965257
4476,4.966733
4480,4.967566
4484,4.967977
4488,4.968387
4492,4.969093
4496,4.970028
4500,4.970952
4504,4.971673
4508,4.972161
4512,4.972487
4516,4.972698
4520,4.972825
4524,4.972875
4528,4.972869
4532,4.972841
4536,4.972796
4540,4.972735
4544,4.972653
4548,4.972563
4552,4.97248
4556,4.972419
4560,4.972383
4564,4.972364
4568,4.972357
4572,4.972355
4576,4.972355
4580,4.972355
4584,4.972355
4588,4.972355
4592,4.972355
4596,4.972355
4600,4.972355
4604,4.972355
4608,4.972355
4612,4.972355
4616,4.972355
4620,4.972355
4624,4.972355
4628,4.972355
4632,4.972355
4636,4.972355
4640,4.972355
4644,4.972355
4648,4.972355
4652,4.972355
4656,4.972355
4660,4.972355
4664,4.972355
4668,4.972355
4672,4.972355
4676,4.972355
4680,4.972355
4684,4.972355
4688,4.972355
4692,4.972355
4696,4.972355
4700,4.972355
