Time,Pupil Diameter
4,4.827523
8,4.827968
12,4.828615
16,4.829496
20,4.830621
24,4.831971
28,4.833513
32,4.835204
36,4.836991
40,4.838828
44,4.840688
48,4.842563
52,4.844458
56,4.846385
60,4.848355
64,4.850373
68,4.852432
72,4.854506
76,4.856555
80,4.858538
84,4.860406
88,4.862126
92,4.86368
96,4.865079
100,4.866347
104,4.86753
108,4.868686
112,4.86987
116,4.871133
120,4.872516
124,4.874029
128,4.87566
132,4.877376
136,4.87912
140,4.880825
144,4.882423
148,4.883852
152,4.885066
156,4.886041
160,4.886774
164,4.887285
168,4.887605
172,4.887774
176,4.887827
180,4.8878
184,4.887725
188,4.887628
192,4.887526
196,4.887431
200,4.887335
204,4.887216
208,4.887048
212,4.8868
216,4.886437
220,4.885945
224,4.885329
228,4.884608
232,4.883814
236,4.882979
240,4.882141
244,4.881328
248,4.880556
252,4.879817
256,4.879085
260,4.878315
264,4.877463
268,4.876485
272,4.875365
276,4.87411
280,4.87276
284,4.871381
288,4.870053
292,4.86885
296,4.867822
300,4.866987
304,4.866322
308,4.865766
312,4.865239
316,4.864656
320,4.863953
324,4.863082
328,4.862038
332,4.860842
336,4.859544
340,4.85821
344,4.856909
348,4.855701
352,4.854633
356,4.853717
360,4.852944
364,4.852289
368,4.851719
372,4.851202
376,4.850719
380,4.850263
384,4.849839
388,4.849465
392,4.849171
396,4.848985
400,4.848927
404,4.849009
408,4.849221
412,4.849539
416,4.849932
420,4.850369
424,4.850816
428,4.851249
432,4.851662
436,4.852058
440,4.852448
444,4.852854
448,4.853301
452,4.853819
456,4.854424
460,4.85512
464,4.855906
468,4.85677
472,4.85769
476,4.858639
480,4.8596
484,4.860564
488,4.861521
492,4.862475
496,4.863437
500,4.864424
504,4.865462
508,4.866569
512,4.867766
516,4.869079
520,4.870522
524,4.872094
528,4.873772
532,4.875528
536,4.877334
540,4.879168
544,4.881036
548,4.882953
552,4.884937
556,4.886994
560,4.889116
564,4.891276
568,4.893439
572,4.895577
576,4.897673
580,4.899727
584,4.901758
588,4.903787
592,4.90581
596,4.907808
600,4.909756
604,4.911635
608,4.913447
612,4.915215
616,4.916975
620,4.918773
624,4.920645
628,4.922606
632,4.924655
636,4.926774
640,4.928937
644,4.931139
648,4.933381
652,4.935662
656,4.93798
660,4.940328
664,4.94269
668,4.945055
672,4.947405
676,4.949728
680,4.952019
684,4.954277
688,4.956514
692,4.958735
696,4.960945
700,4.963144
704,4.965331
708,4.967513
712,4.969697
716,4.971881
720,4.974071
724,4.976273
728,4.978493
732,4.980739
736,4.983021
740,4.98534
744,4.987692
748,4.990069
752,4.992449
756,4.994808
760,4.997109
764,4.999306
768,5.00137
772,5.003281
776,5.005036
780,5.006647
784,5.008144
788,5.009579
792,5.011009
796,5.0125
800,5.014102
804,5.015841
808,5.017731
812,5.019768
816,5.021923
820,5.024161
824,5.026447
828,5.02875
832,5.031036
836,5.033283
840,5.035479
844,5.037613
848,5.039681
852,5.04168
856,5.043617
860,5.045502
864,5.047338
868,5.049129
872,5.050886
876,5.052636
880,5.054399
884,5.056195
888,5.058037
892,5.05992
896,5.061842
900,5.06379
904,5.065737
908,5.067665
912,5.069567
916,5.071447
920,5.073321
924,5.07521
928,5.077129
932,5.079083
936,5.08107
940,5.083082
944,5.085114
948,5.087157
952,5.089198
956,5.091233
960,5.093252
964,5.095232
968,5.09715
972,5.098984
976,5.100722
980,5.102355
984,5.103888
988,5.105331
992,5.106693
996,5.107985
1000,5.109223
1004,5.110419
1008,5.111578
1012,5.112705
1016,5.113808
1020,5.114892
1024,5.115955
1028,5.116988
1032,5.117981
1036,5.118919
1040,5.119782
1044,5.120548
1048,5.121197
1052,5.121717
1056,5.122138
1060,5.122503
1064,5.122864
1068,5.123282
1072,5.123807
1076,5.124469
1080,5.125275
1084,5.126231
1088,5.127355
1092,5.128699
1096,5.130352
1100,5.132418
1104,5.135021
1108,5.138254
1112,5.142143
1116,5.146627
1120,5.15155
1124,5.156685
1128,5.161757
1132,5.166493
1136,5.170659
1140,5.174091
1144,5.176706
1148,5.178497
1152,5.179519
1156,5.179878
1160,5.179695
1164,5.179087
1168,5.178166
1172,5.177027
1176,5.175742
1180,5.174363
1184,5.172933
1188,5.171493
1192,5.17009
1196,5.168777
1200,5.1676
1204,5.166604
1208,5.165811
1212,5.165232
1216,5.164852
1220,5.164623
1224,5.16448
1228,5.164354
1232,5.164186
1236,5.163926
1240,5.163543
1244,5.163022
1248,5.16236
1252,5.161564
1256,5.160654
1260,5.15966
1264,5.158623
1268,5.157588
1272,5.156603
1276,5.155715
1280,5.154937
1284,5.154262
1288,5.153657
1292,5.153075
1296,5.152457
1300,5.151751
1304,5.15093
1308,5.149984
1312,5.148929
1316,5.147807
1320,5.146666
1324,5.145549
1328,5.144482
1332,5.143464
1336,5.142462
1340,5.14142
1344,5.140267
1348,5.138939
1352,5.137393
1356,5.135604
1360,5.133566
1364,5.131297
1368,5.128823
1372,5.126172
1376,5.123361
1380,5.120408
1384,5.117322
1388,5.114108
1392,5.110773
1396,5.107309
1400,5.103698
1404,5.099914
1408,5.095921
1412,5.091678
1416,5.087163
1420,5.08236
1424,5.077265
1428,5.071902
1432,5.066311
1436,5.060536
1440,5.054629
1444,5.048621
1448,5.042529
1452,5.036374
1456,5.030168
1460,5.023923
1464,5.017648
1468,5.011366
1472,5.005099
1476,4.998867
1480,4.992684
1484,4.986556
1488,4.980474
1492,4.974424
1496,4.968388
1500,4.962349
1504,4.956295
1508,4.950222
1512,4.944128
1516,4.938032
1520,4.931957
1524,4.925924
1528,4.919955
1532,4.91407
1536,4.908276
1540,4.902582
1544,4.896962
1548,4.89138
1552,4.885793
1556,4.880154
1560,4.874424
1564,4.868572
1568,4.862581
1572,4.856439
1576,4.850159
1580,4.843759
1584,4.837265
1588,4.830714
1592,4.824142
1596,4.817589
1600,4.81109
1604,4.804667
1608,4.798342
1612,4.792126
1616,4.786016
1620,4.78001
1624,4.774107
1628,4.7683
1632,4.762573
1636,4.756919
1640,4.75134
1644,4.745833
1648,4.740398
1652,4.735035
1656,4.729747
1660,4.724537
1664,4.719412
1668,4.714369
1672,4.709396
1676,4.704481
1680,4.6996
1684,4.694743
1688,4.689899
1692,4.68507
1696,4.680279
1700,4.675553
1704,4.670921
1708,4.666416
1712,4.66206
1716,4.657852
1720,4.653764
1724,4.649767
1728,4.645831
1732,4.641922
1736,4.638018
1740,4.634116
1744,4.630231
1748,4.626386
1752,4.622612
1756,4.618923
1760,4.615329
1764,4.611834
1768,4.608428
1772,4.605097
1776,4.601822
1780,4.598576
1784,4.595348
1788,4.592127
1792,4.588905
1796,4.585684
1800,4.582468
1804,4.579269
1808,4.576109
1812,4.573013
1816,4.570014
1820,4.567134
1824,4.564392
1828,4.561795
1832,4.559341
1836,4.557007
1840,4.554769
1844,4.552609
1848,4.55052
1852,4.548516
1856,4.546628
1860,4.544888
1864,4.543326
1868,4.541969
1872,4.540821
1876,4.539865
1880,4.539066
1884,4.53838
1888,4.537761
1892,4.537172
1896,4.536588
1900,4.536001
1904,4.535427
1908,4.534889
1912,4.534412
1916,4.534034
1920,4.533785
1924,4.533681
1928,4.533741
1932,4.533971
1936,4.534363
1940,4.534908
1944,4.535595
1948,4.536408
1952,4.537335
1956,4.538364
1960,4.539488
1964,4.540703
1968,4.542011
1972,4.54342
1976,4.544939
1980,4.546574
1984,4.548323
1988,4.550179
1992,4.552123
1996,4.554134
2000,4.556189
2004,4.55828
2008,4.560421
2012,4.562632
2016,4.564949
2020,4.567411
2024,4.570045
2028,4.572862
2032,4.57585
2036,4.578967
2040,4.582168
2044,4.585405
2048,4.58863
2052,4.591811
2056,4.594932
2060,4.597995
2064,4.60102
2068,4.604032
2072,4.60706
2076,4.610138
2080,4.61329
2084,4.616529
2088,4.61985
2092,4.623239
2096,4.626678
2100,4.630153
2104,4.633653
2108,4.637183
2112,4.640757
2116,4.644392
2120,4.648102
2124,4.651898
2128,4.655775
2132,4.659721
2136,4.663719
2140,4.667755
2144,4.671824
2148,4.675921
2152,4.680049
2156,4.684208
2160,4.688392
2164,4.692598
2168,4.696825
2172,4.701067
2176,4.705317
2180,4.709572
2184,4.713822
2188,4.718058
2192,4.722262
2196,4.726408
2200,4.730477
2204,4.734457
2208,4.738351
2212,4.742177
2216,4.745963
2220,4.749741
2224,4.753535
2228,4.757373
2232,4.761269
2236,4.765222
2240,4.769238
2244,4.773316
2248,4.777442
2252,4.781606
2256,4.785786
2260,4.78994
2264,4.794015
2268,4.797972
2272,4.801783
2276,4.805425
2280,4.808906
2284,4.812255
2288,4.815513
2292,4.818725
2296,4.821926
2300,4.825126
2304,4.828323
2308,4.831491
2312,4.834594
2316,4.837608
2320,4.840521
2324,4.843332
2328,4.846081
2332,4.848823
2336,4.85161
2340,4.854492
2344,4.857496
2348,4.860618
2352,4.863829
2356,4.867085
2360,4.870327
2364,4.873504
2368,4.876585
2372,4.879562
2376,4.882432
2380,4.885203
2384,4.887902
2388,4.890544
2392,4.893147
2396,4.89573
2400,4.898315
2404,4.900925
2408,4.903587
2412,4.90632
2416,4.909136
2420,4.912029
2424,4.914967
2428,4.917911
2432,4.920815
2436,4.923648
2440,4.926394
2444,4.92905
2448,4.931637
2452,4.934178
2456,4.936687
2460,4.939159
2464,4.941579
2468,4.943922
2472,4.946169
2476,4.9483
2480,4.950307
2484,4.952203
2488,4.954001
2492,4.955715
2496,4.95736
2500,4.958956
2504,4.960521
2508,4.962072
2512,4.963626
2516,4.965198
2520,4.966796
2524,4.968416
2528,4.970045
2532,4.971671
2536,4.973276
2540,4.97485
2544,4.976394
2548,4.977923
2552,4.979465
2556,4.981048
2560,4.982708
2564,4.984478
2568,4.986383
2572,4.988433
2576,4.990613
2580,4.992885
2584,4.995203
2588,4.99751
2592,4.999743
2596,5.001856
2600,5.003817
2604,5.005619
2608,5.007289
2612,5.008876
2616,5.010432
2620,5.012006
2624,5.013641
2628,5.015364
2632,5.017179
2636,5.019075
2640,5.021032
2644,5.023022
2648,5.02503
2652,5.027054
2656,5.029078
2660,5.031092
2664,5.033092
2668,5.035075
2672,5.037041
2676,5.038994
2680,5.040933
2684,5.042871
2688,5.044824
2692,5.046792
2696,5.048769
2700,5.050743
2704,5.052691
2708,5.054592
2712,5.056439
2716,5.058226
2720,5.059955
2724,5.061638
2728,5.063299
2732,5.064969
2736,5.066686
2740,5.068486
2744,5.07039
2748,5.072418
2752,5.074574
2756,5.076817
2760,5.079084
2764,5.081303
2768,5.083387
2772,5.085272
2776,5.08692
2780,5.088331
2784,5.089543
2788,5.090625
2792,5.091662
2796,5.092742
2800,5.093946
2804,5.095348
2808,5.097004
2812,5.098948
2816,5.1012
2820,5.103755
2824,5.106573
2828,5.10958
2832,5.112667
2836,5.115711
2840,5.118587
2844,5.121182
2848,5.123425
2852,5.125294
2856,5.126812
2860,5.12805
2864,5.129106
2868,5.130086
2872,5.131095
2876,5.132214
2880,5.133493
2884,5.134971
2888,5.136659
2892,5.13856
2896,5.140666
2900,5.142957
2904,5.145408
2908,5.147988
2912,5.150655
2916,5.15337
2920,5.156103
2924,5.158836
2928,5.161563
2932,5.164285
2936,5.166999
2940,5.169695
2944,5.17235
2948,5.174924
2952,5.17737
2956,5.17964
2960,5.181702
2964,5.183538
2968,5.185156
2972,5.186593
2976,5.187903
2980,5.189153
2984,5.190417
2988,5.191763
2992,5.193234
2996,5.194855
3000,5.196625
3004,5.198523
3008,5.200519
3012,5.202583
3016,5.204687
3020,5.206807
3024,5.208923
3028,5.211016
3032,5.213061
3036,5.215044
3040,5.21695
3044,5.218763
3048,5.22047
3052,5.22205
3056,5.223474
3060,5.224709
3064,5.225717
3068,5.226474
3072,5.226983
3076,5.227279
3080,5.227417
3084,5.227477
3088,5.227538
3092,5.227679
3096,5.227958
3100,5.228401
3104,5.229009
3108,5.229779
3112,5.230707
3116,5.23178
3120,5.232998
3124,5.234367
3128,5.235879
3132,5.237529
3136,5.239304
3140,5.241182
3144,5.243124
3148,5.24509
3152,5.247038
3156,5.248935
3160,5.250755
3164,5.252485
3168,5.254134
3172,5.255718
3176,5.257263
3180,5.258801
3184,5.260363
3188,5.261961
3192,5.263605
3196,5.265296
3200,5.267015
3204,5.268735
3208,5.270422
3212,5.272046
3216,5.273574
3220,5.274988
3224,5.276279
3228,5.27744
3232,5.278473
3236,5.279399
3240,5.28025
3244,5.281061
3248,5.281872
3252,5.282727
3256,5.283666
3260,5.284715
