Time,Pupil Diameter
4,7.253129
8,7.252473
12,7.251707
16,7.250828
20,7.249834
24,7.248722
28,7.247496
32,7.246155
36,7.244736
40,7.243225
44,7.241654
48,7.240069
52,7.238465
56,7.236885
60,7.235396
64,7.233956
68,7.232614
72,7.231428
76,7.230345
80,7.229394
84,7.228573
88,7.227872
92,7.227266
96,7.226732
100,7.226238
104,7.225734
108,7.225186
112,7.22455
116,7.22377
120,7.22281
124,7.221616
128,7.22016
132,7.218406
136,7.216322
140,7.213886
144,7.211051
148,7.207854
152,7.204274
156,7.2003
160,7.195962
164,7.191266
168,7.186229
172,7.180882
176,7.175258
180,7.169374
184,7.163279
188,7.157
192,7.15057
196,7.144028
200,7.137377
204,7.130663
208,7.12391
212,7.117153
216,7.110404
220,7.103681
224,7.097007
228,7.090375
232,7.083824
236,7.077347
240,7.07094
244,7.064641
248,7.058436
252,7.052302
256,7.046308
260,7.040421
264,7.034625
268,7.028991
272,7.023492
276,7.018133
280,7.012923
284,7.00788
288,7.003012
292,6.998322
296,6.993831
300,6.989537
304,6.985432
308,6.981531
312,6.977835
316,6.974325
320,6.971001
324,6.967848
328,6.964846
332,6.961977
336,6.959241
340,6.956569
344,6.953969
348,6.951426
352,6.948897
356,6.946378
360,6.943854
364,6.941293
368,6.938691
372,6.936054
376,6.933373
380,6.930646
384,6.927876
388,6.925068
392,6.922238
396,6.91938
400,6.916501
404,6.913603
408,6.910705
412,6.907808
416,6.904917
420,6.902035
424,6.899161
428,6.896295
432,6.893434
436,6.890581
440,6.887743
444,6.884925
448,6.882135
452,6.879374
456,6.876644
460,6.873957
464,6.871321
468,6.868746
472,6.86624
476,6.863805
480,6.861445
484,6.859169
488,6.85697
492,6.854847
496,6.852808
500,6.850839
504,6.848927
508,6.847082
512,6.845291
516,6.84355
520,6.841858
524,6.84021
528,6.838603
532,6.837028
536,6.835488
540,6.833979
544,6.83251
548,6.831061
552,6.829641
556,6.828254
560,6.826886
564,6.825536
568,6.824211
572,6.822912
576,6.821649
580,6.820406
584,6.819189
588,6.817989
592,6.816808
596,6.815648
600,6.814509
604,6.81339
608,6.81229
612,6.811202
616,6.810129
620,6.80906
624,6.807996
628,6.806935
632,6.805872
636,6.804806
640,6.803739
644,6.802672
648,6.801609
652,6.800554
656,6.799516
660,6.798503
664,6.797533
668,6.796611
672,6.795752
676,6.794968
680,6.79427
684,6.793669
688,6.793172
692,6.792791
696,6.792528
700,6.792384
704,6.792373
708,6.79247
712,6.792675
716,6.792976
720,6.793363
724,6.793827
728,6.794349
732,6.794916
736,6.795508
740,6.796127
744,6.796743
748,6.797345
752,6.797918
756,6.798451
760,6.798936
764,6.799364
768,6.79972
772,6.800014
776,6.800238
780,6.800396
784,6.800484
788,6.800503
792,6.800461
796,6.800364
800,6.80022
804,6.800035
808,6.799828
812,6.799605
816,6.799381
820,6.799159
824,6.798959
828,6.798792
832,6.798674
836,6.798614
840,6.798622
844,6.79871
848,6.798884
852,6.799151
856,6.799512
860,6.799978
864,6.800547
868,6.801219
872,6.801994
876,6.802867
880,6.803822
884,6.804851
888,6.805946
892,6.807096
896,6.80828
900,6.809503
904,6.810737
908,6.811965
912,6.813177
916,6.814355
920,6.815486
924,6.816556
928,6.817563
932,6.818487
936,6.819328
940,6.820083
944,6.820745
948,6.821311
952,6.821785
956,6.822183
960,6.822505
964,6.82277
968,6.822987
972,6.823177
976,6.823363
980,6.823565
984,6.823803
988,6.824098
992,6.824473
996,6.824948
1000,6.825532
1004,6.826241
1008,6.827081
1012,6.828055
1016,6.829159
1020,6.830388
1024,6.831728
1028,6.833169
1032,6.834694
1036,6.836282
1040,6.837914
1044,6.839569
1048,6.841225
1052,6.842865
1056,6.84447
1060,6.84603
1064,6.847529
1068,6.848961
1072,6.850325
1076,6.851611
1080,6.852817
1084,6.853943
1088,6.854991
1092,6.855965
1096,6.85687
1100,6.857723
1104,6.858517
1108,6.859261
1112,6.859954
1116,6.86061
1120,6.861226
1124,6.861815
1128,6.862384
1132,6.862937
1136,6.863484
1140,6.864024
1144,6.864555
1148,6.865076
1152,6.865603
1156,6.866115
1160,6.866616
1164,6.867099
1168,6.867552
1172,6.867972
1176,6.868355
1180,6.868694
1184,6.868978
1188,6.869198
1192,6.869351
1196,6.869435
1200,6.869446
1204,6.869381
1208,6.869244
1212,6.869028
1216,6.868742
1220,6.868393
1224,6.867985
1228,6.867524
1232,6.867016
1236,6.86647
1240,6.86588
1244,6.865256
1248,6.864596
1252,6.863895
1256,6.863153
1260,6.862367
1264,6.861527
1268,6.860626
1272,6.859652
1276,6.858588
1280,6.857424
1284,6.856147
1288,6.854747
1292,6.853205
1296,6.851535
1300,6.849715
1304,6.847758
1308,6.845664
1312,6.84344
1316,6.841111
1320,6.838681
1324,6.836179
1328,6.833623
1332,6.831057
1336,6.828503
1340,6.825995
1344,6.823552
1348,6.821209
1352,6.818981
1356,6.816881
1360,6.814928
1364,6.813125
1368,6.81146
1372,6.809935
1376,6.808543
1380,6.807271
1384,6.806102
1388,6.805014
1392,6.803989
1396,6.803009
1400,6.802052
1404,6.801108
1408,6.800156
1412,6.799184
1416,6.798191
1420,6.797174
1424,6.796137
1428,6.795091
1432,6.794057
1436,6.793046
1440,6.792083
1444,6.791195
1448,6.79041
1452,6.789755
1456,6.78926
1460,6.788957
1464,6.788866
1468,6.789008
1472,6.789408
1476,6.790047
1480,6.790938
1484,6.792068
1488,6.793421
1492,6.79499
1496,6.796736
1500,6.798628
1504,6.800642
1508,6.802738
1512,6.804894
1516,6.807076
1520,6.80926
1524,6.811412
1528,6.81352
1532,6.815564
1536,6.817538
1540,6.819435
1544,6.821241
1548,6.822957
1552,6.824574
1556,6.826093
1560,6.827522
1564,6.828856
1568,6.830097
1572,6.831249
1576,6.832317
1580,6.833308
1584,6.834237
1588,6.835113
1592,6.835939
1596,6.836732
1600,6.837504
1604,6.838265
1608,6.839024
1612,6.83979
1616,6.840569
1620,6.841372
1624,6.84219
1628,6.843027
1632,6.843878
1636,6.844732
1640,6.845581
1644,6.846415
1648,6.847221
1652,6.84798
1656,6.848691
1660,6.84932
1664,6.849853
1668,6.850301
1672,6.850637
1676,6.85086
1680,6.850949
1684,6.850905
1688,6.850729
1692,6.850415
1696,6.849964
1700,6.849382
1704,6.848673
1708,6.847842
1712,6.846894
1716,6.845834
1720,6.844662
1724,6.843383
1728,6.841993
1732,6.840497
1736,6.838902
1740,6.837207
1744,6.835419
1748,6.833521
1752,6.831527
1756,6.829439
1760,6.827266
1764,6.825007
1768,6.82268
1772,6.820295
1776,6.817863
1780,6.8154
1784,6.812929
