Time,Pupil Diameter
4,4.911729
8,4.912355
12,4.913156
16,4.91416
20,4.915373
24,4.916767
28,4.918314
32,4.919971
36,4.92167
40,4.923364
44,4.925016
48,4.926596
52,4.928082
56,4.929459
60,4.930698
64,4.931759
68,4.932597
72,4.933185
76,4.933475
80,4.93348
84,4.933264
88,4.932935
92,4.932636
96,4.932485
100,4.932593
104,4.933022
108,4.933749
112,4.934682
116,4.935706
120,4.936717
124,4.937644
128,4.938494
132,4.939349
136,4.940311
140,4.941481
144,4.942916
148,4.944601
152,4.946463
156,4.948403
160,4.950317
164,4.952174
168,4.953976
172,4.955808
176,4.957756
180,4.959898
184,4.962286
188,4.964901
192,4.967701
196,4.970567
200,4.973432
204,4.976225
208,4.978894
212,4.981412
216,4.983783
220,4.986031
224,4.988177
228,4.990242
232,4.992249
236,4.994231
240,4.996198
244,4.998146
248,5.000058
252,5.001902
256,5.003665
260,5.005293
264,5.006781
268,5.008162
272,5.009502
276,5.010897
280,5.012434
284,5.014185
288,5.016154
292,5.018276
296,5.020413
300,5.022433
304,5.024252
308,5.025818
312,5.027159
316,5.028389
320,5.029665
324,5.031129
328,5.032867
332,5.034882
336,5.037081
340,5.039326
344,5.041457
348,5.043333
352,5.044829
356,5.045924
360,5.046635
364,5.047003
368,5.047103
372,5.047003
376,5.046779
380,5.04648
384,5.046134
388,5.045775
392,5.045435
396,5.045132
400,5.044855
404,5.044615
408,5.044375
412,5.044066
416,5.043597
420,5.042861
424,5.041758
428,5.04022
432,5.038218
436,5.035755
440,5.03288
444,5.029696
448,5.026332
452,5.02293
456,5.019633
460,5.016576
464,5.013864
468,5.011563
472,5.009696
476,5.008259
480,5.007206
484,5.00647
488,5.005982
492,5.005675
496,5.0055
500,5.005402
504,5.005352
508,5.005331
512,5.005324
516,5.005324
520,5.005324
524,5.005322
528,5.005309
532,5.005275
536,5.005204
540,5.005071
544,5.004835
548,5.004443
552,5.003835
556,5.002942
560,5.001697
564,5.000047
568,4.997962
572,4.99545
576,4.99256
580,4.989375
584,4.986007
588,4.98258
592,4.979212
596,4.975999
600,4.973008
604,4.970267
608,4.967773
612,4.965501
616,4.963409
620,4.961455
624,4.959601
628,4.957811
632,4.956059
636,4.95433
640,4.952615
644,4.950904
648,4.949194
652,4.947484
656,4.945791
660,4.944118
664,4.942489
668,4.940958
672,4.939578
676,4.938443
680,4.937674
684,4.937428
688,4.937881
692,4.93922
696,4.941617
700,4.945224
704,4.950119
708,4.956303
712,4.963686
